C,cache_size,class_weight,decision_function_shape,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
1.0615789473684212,2048,,ovr,linear,None,0.8605515700216361,0.9228803102414949,0.7982228298017772,0.20177717019822283,0.07711968975850521,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,SMOTETomek,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,None,0.862729633082273,0.9315882249250839,0.7938710412394624,0.20612895876053772,0.06841177507491626,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,SMOTETomek,0.8634916548377819,0.9261061166931078,0.8008771929824562,0.19912280701754384,0.0738938833068923,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,SMOTETomek,0.8638223997328064,0.9250132205182443,0.8026315789473686,0.19736842105263155,0.0749867794817557,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,,ovr,linear,None,0.8596789887077677,0.9185263528997004,0.8008316245158351,0.19916837548416497,0.08147364710029967,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,None,0.8633720014665768,0.9337387625594924,0.7930052403736615,0.20699475962633854,0.06626123744050767,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,,ovr,linear,ClusterCentroids,0.8627208194034436,0.9315705975674247,0.7938710412394624,0.2061289587605377,0.06842940243257535,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,,ovr,linear,EditedNearestNeighbours,0.8641253390675862,0.9369998237264235,0.7912508544087493,0.20874914559125082,0.06300017627357658,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,ClusterCentroids,0.8627208194034436,0.9315705975674247,0.7938710412394624,0.2061289587605377,0.06842940243257535,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,,ovr,linear,ClusterCentroids,0.8621743713160118,0.9304777013925613,0.7938710412394624,0.2061289587605377,0.06952229860743873,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,ClusterCentroids,0.8621743713160118,0.9304777013925613,0.7938710412394624,0.2061289587605377,0.06952229860743873,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,EditedNearestNeighbours,0.8638194116366344,0.9337563899171514,0.7938824333561176,0.20611756664388245,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,EditedNearestNeighbours,0.8629479147125059,0.9337563899171514,0.7921394395078606,0.20786056049213944,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,,ovr,linear,EditedNearestNeighbours,0.8620593296133947,0.9337563899171514,0.7903622693096377,0.20963773069036226,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,,ovr,linear,InstanceHardnessThreshold,0.8633751190870788,0.9337563899171514,0.7929938482570061,0.20700615174299383,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,,ovr,linear,NearMiss,0.8626160854277417,0.9304953287502203,0.7947368421052632,0.20526315789473684,0.06950467124977966,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,InstanceHardnessThreshold,0.8633751190870788,0.9337563899171514,0.7929938482570061,0.20700615174299383,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,InstanceHardnessThreshold,0.8633751190870788,0.9337563899171514,0.7929938482570061,0.20700615174299383,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,,ovr,linear,InstanceHardnessThreshold,0.8633751190870788,0.9337563899171514,0.7929938482570061,0.20700615174299383,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,NearMiss,0.8626160854277417,0.9304953287502203,0.7947368421052632,0.20526315789473684,0.06950467124977966,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,,ovr,linear,NearMiss,0.8630489858606422,0.9304953287502203,0.7956026429710641,0.204397357028936,0.06950467124977966,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,NearMiss,0.8630489858606422,0.9304953287502203,0.7956026429710641,0.204397357028936,0.06950467124977966,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,,ovr,linear,NeighbourhoodCleaningRule,0.8636867425763581,0.9369998237264235,0.7903736614262931,0.20962633857370697,0.06300017627357658,0.0,0.0,0.0,0.0,0.0
1.0615789473684212,2048,balanced,ovr,linear,NeighbourhoodCleaningRule,0.8650025320500424,0.9369998237264235,0.7930052403736615,0.20699475962633854,0.06300017627357658,0.0,0.0,0.0,0.0,0.0
1.5873684210526318,2048,balanced,ovr,linear,NeighbourhoodCleaningRule,0.86304695262988,0.9348316587343558,0.7912622465254046,0.20873775347459556,0.06516834126564428,0.0,0.0,0.0,0.0,0.0
