layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(20, 'sigm'), (2, 'rbf_l2')]",ClusterCentroids,0.70118228995407217,0.6992626998848096,0.8524664956704534,0.8728186144896878,0.832114376851219,0.16788562314878108,0.12718138551031202,0.6209413008989952,0.6998632946001367,0.06697425381635908,0.06407544509078089,0.06407544509078089,0.0908490816752116
"[(50, 'sigm')]",ClusterCentroids,0.70232187171278515,0.69903590949624272,0.8532738057585673,0.8848228450555262,0.8217247664616086,0.17827523353839145,0.11517715494447382,0.6816675480345497,0.750375939849624,0.07306903622693096,0.0629825489159175,0.0629825489159175,0.10852694511413574
"[(50, 'lin')]",ClusterCentroids,0.72709908538251344,0.71756507657663626,0.8653296141175013,0.9315705975674246,0.799088630667578,0.20091136933242196,0.06842940243257535,0.7329279041071745,0.7598997493734335,0.08001822738664843,0.05757095011457782,0.05757095011457782,0.08969990412394206
"[(20, 'sigm'), (20, 'sigm')]",ClusterCentroids,0.7049459546766137,0.70183447458645565,0.854580242370746,0.8847699629825488,0.8243905217589429,0.1756094782410572,0.11523003701745109,0.6893530759739116,0.7364661654135339,0.07566643882433356,0.05753569539925965,0.05753569539925965,0.0822134017944336
"[(50, 'rbf_l1')]",ClusterCentroids,0.36624141371596491,0.35143750105541144,0.6717105699925985,0.522721664022563,0.8206994759626339,0.17930052403736615,0.4772783359774369,0.04345143662964921,0.13393711551606288,0.01737297789929369,0.024907456372289794,0.024907456372289794,0.10004432996114095
"[(50, 'rbf_l2')]",ClusterCentroids,0.70872069572178409,0.70503308529215081,0.8564887592762012,0.8913097126740701,0.8216678058783323,0.1783321941216678,0.10869028732592985,0.6849638639167989,0.7486785144679882,0.07564365459102301,0.061907280098713206,0.061907280098713206,0.12177387873331706
"[(20, 'lin'), (20, 'lin')]",EditedNearestNeighbours,0.41296876702422897,0.40270978013506892,0.7062893430152469,0.7860920148069804,0.6264866712235132,0.3735133287764867,0.21390798519301957,0.5057641459545215,0.32889040783777623,0.06525404420141262,0.04773488454080733,0.04773488454080733,0.030115048090616863
"[(50, 'sigm')]",EditedNearestNeighbours,0.72171491453227621,0.71037035887398636,0.8622719151852999,0.9359245549092191,0.7886192754613809,0.21138072453861925,0.06407544509078089,0.902221047065045,0.7338459785828206,0.18349282296650718,0.05540278512251013,0.05540278512251013,0.030625581741333008
"[(50, 'tanh')]",EditedNearestNeighbours,0.70723994395159118,0.69602223795380125,0.8549949672267297,0.9282742816851753,0.7817156527682844,0.2182843472317156,0.0717257183148246,0.842376167812445,0.6668603326498065,0.16353383458646617,0.05103120042305658,0.05103120042305658,0.08183582623799641
"[(20, 'sigm'), (2, 'rbf_l2')]",EditedNearestNeighbours,0.70127837763023149,0.69172473489831743,0.8522652992030096,0.9185087255420412,0.7860218728639783,0.21397812713602185,0.08149127445795876,0.8173453199365416,0.6381180223285486,0.14178628389154704,0.05540278512251013,0.05540278512251013,0.0484926700592041
"[(20, 'sigm'), (20, 'sigm')]",EditedNearestNeighbours,0.72221967924727204,0.71124139308759127,0.8626368364302901,0.9348316587343556,0.7904420141262247,0.20955798587377536,0.06516834126564428,0.8967036841177508,0.713898382319435,0.18954203691045798,0.04780539397144368,0.04780539397144368,0.03754734992980957
