Default time range,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
"(0, 200)",Bernoulli Naive Bayes,0.15486580838605557,0.18333704331979309,0.632102867517695,0.6637115578682824,0.18606123359104645,0.48954919985647505,0.7746565351789144,0.2253434648210856,0.5104508001435248,0.018673167466389445,0.012201734941404946,0.014462849342934089,0.01399089244659741,0.02160957572119787,0.030885504589177548,0.020575994874210267,
"(0, 300)",Bernoulli Naive Bayes,0.12054260178268925,0.18068495827396039,0.6215845644265068,0.66661206248628024,0.19803732487302614,0.4723053725662419,0.7708637562867717,0.22913624371322805,0.5276946274337582,0.021147800950159237,0.01240702455547856,0.01875587783432433,0.020579177200428296,0.031024670422809285,0.037063548736486464,0.020278361992567596,
"(50, 150)",Bernoulli Naive Bayes,0.27076245777815044,0.19388558346876753,0.6832672158483315,0.73558638745244631,0.26431205385045214,0.6031636583403996,0.7633707733562629,0.23662922664373695,0.3968363416595999,0.022203567275892032,0.01168268076161188,0.012502849388949511,0.008849326212413534,0.015922900328032147,0.01832323362294174,0.020510580726088714,
"(100, 200)",Bernoulli Naive Bayes,0.24988985323347077,0.21489094329444378,0.667700069144381,0.70623990879003229,0.24191428240488183,0.6025674763181863,0.732832661970575,0.2671673380294247,0.39743252368181353,0.02417539355188278,0.013321978015961041,0.013899835629748378,0.008878695644355897,0.017406554117102895,0.017445117481285768,0.023738830718434238,
"(200, 1000)",Bernoulli Naive Bayes,0.2604335267312412,0.20697473159786509,0.6632700484092338,0.69911677282061846,0.18217672541362046,0.5779637604788249,0.7485763363396432,0.2514236636603569,0.4220362395211749,0.0354268005706327,0.012705040207052005,0.021574748075597384,0.014787402188179902,0.027299132651992245,0.04205554407863038,0.027428498718407232,
"(0, 30)",Decision Tree,0.21554029365665911,0.25103797605120115,0.6157520495893468,0.63504563593318109,0.12349211367202981,0.46814399601729895,0.7633601031613945,0.2366398968386053,0.531856003982701,0.0943121625565043,0.051111561368641874,0.04694658309608014,0.04719059087814932,0.0572526651304503,0.105456486427284,0.12422572626076138,
"(0, 60)",Decision Tree,0.22162698605826783,0.22805077762153556,0.6206866686219616,0.63554029460311168,0.12018055762728616,0.44660756737306606,0.7947657698708573,0.2052342301291428,0.5533924326269339,0.07113647449900154,0.03554525150190806,0.035738934793918604,0.038830493810902915,0.04344735784742544,0.09063878211774927,0.08599384931611027,
"(0, 100)",Decision Tree,0.18416581749686134,0.22786513494907532,0.6116574649055376,0.63526449816741537,0.11442733742472815,0.45227018041222466,0.7710447493988505,0.22895525060115,0.5477298195877753,0.07074236136373091,0.02927201541590415,0.04222163075603115,0.04693711263693653,0.047765486629259335,0.10945188352345481,0.08735066858503245,
"(0, 200)",Decision Tree,0.11422415186244918,0.21590685076086508,0.5932244614090354,0.60198346506288636,0.09824309614890189,0.41548470915885766,0.7709642136592132,0.22903578634078678,0.5845152908411424,0.05942363901885646,0.020125403015642557,0.04584841137417193,0.049003670890102775,0.04983104222360336,0.10544744521177932,0.07725948704019858,
"(0, 300)",Decision Tree,0.089431195157559026,0.21576852608319316,0.5880892623322359,0.61093299879681784,0.10381466260711654,0.41265271371140927,0.7635258109530625,0.23647418904693765,0.5873472862885908,0.05029143279240405,0.02132679254386773,0.0485640315777928,0.04928905479777357,0.056054329684293996,0.12865503353281127,0.0802306413606697,
