activation,hidden_layer_sizes,max_iter,solver,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
identity,"(5,)",1000,adam,OneSidedSelection,0.6830158730158731,0.5188888888888888,0.8471428571428573,0.15285714285714286,0.4811111111111111,0.28444444444444444,0.6895238095238095,0.051904761904761905,0.24888888888888885,0.24888888888888885
identity,"(50, 50)",1000,sgd,None,0.6668253968253968,0.4588888888888889,0.8747619047619047,0.12523809523809523,0.5411111111111111,0.17777777777777773,0.71,0.022857142857142857,0.2677777777777777,0.2677777777777777
identity,"(50, 50)",1000,lbgfs,ADASYN,0.7159523809523809,0.7066666666666667,0.7252380952380952,0.27476190476190476,0.29333333333333333,0.4477777777777778,0.5138095238095238,0.1295238095238095,0.12666666666666668,0.12666666666666668
identity,"(5,)",1000,adam,RandomUnderSampler,0.7064285714285714,0.73,0.6828571428571429,0.3171428571428571,0.26999999999999996,0.5222222222222223,0.47857142857142865,0.1619047619047619,0.12555555555555556,0.12555555555555556
identity,"(50, 50)",1000,lbgfs,RandomOverSampler,0.7072222222222222,0.6944444444444443,0.7200000000000001,0.27999999999999997,0.3055555555555556,0.4788888888888889,0.5357142857142858,0.13904761904761906,0.1511111111111111,0.1511111111111111
identity,"(5,)",1000,sgd,NearMiss,0.6771428571428572,0.7333333333333334,0.620952380952381,0.379047619047619,0.26666666666666666,0.5233333333333333,0.4133333333333333,0.20714285714285716,0.10222222222222221,0.10222222222222221
identity,"(5,)",1000,adam,TomekLinks,0.6806349206349207,0.518888888888889,0.8423809523809526,0.1576190476190476,0.4811111111111111,0.3011111111111111,0.6933333333333334,0.04904761904761904,0.2588888888888889,0.2588888888888889
identity,"(50, 50)",1000,lbgfs,SMOTE,0.7080158730158731,0.688888888888889,0.7271428571428572,0.27285714285714285,0.3111111111111111,0.49222222222222217,0.5623809523809523,0.14666666666666664,0.17,0.17
identity,"(5,)",1000,adam,ADASYN,0.7186507936507938,0.7077777777777778,0.7295238095238096,0.2704761904761905,0.2922222222222222,0.43444444444444447,0.5052380952380952,0.12238095238095238,0.11888888888888889,0.11888888888888889
identity,"(5,)",1000,sgd,NeighbourhoodCleaningRule,0.7085714285714286,0.6866666666666665,0.7304761904761906,0.26952380952380955,0.3133333333333333,0.4811111111111111,0.5566666666666666,0.13238095238095238,0.16111111111111112,0.16111111111111112
identity,"(50, 50)",1000,lbgfs,SMOTEENN,0.6928571428571427,0.5933333333333334,0.7923809523809524,0.2076190476190476,0.40666666666666673,0.41111111111111115,0.6576190476190477,0.12333333333333334,0.25666666666666665,0.25666666666666665
identity,"(5,)",1000,adam,RandomOverSampler,0.7106349206349206,0.7022222222222222,0.719047619047619,0.280952380952381,0.29777777777777775,0.48,0.5204761904761904,0.12523809523809523,0.1366666666666667,0.1366666666666667
identity,"(50, 50)",1000,lbgfs,SMOTETomek,0.709047619047619,0.69,0.728095238095238,0.2719047619047619,0.31,0.49000000000000005,0.5647619047619048,0.14523809523809525,0.17555555555555558,0.17555555555555558
identity,"(5,)",1000,adam,SMOTE,0.7161111111111111,0.7022222222222222,0.73,0.26999999999999996,0.29777777777777775,0.48666666666666664,0.5538095238095239,0.1419047619047619,0.15,0.15
identity,"(50, 50)",1000,adam,None,0.6718253968253968,0.47555555555555556,0.868095238095238,0.13190476190476189,0.5244444444444445,0.23888888888888885,0.7195238095238095,0.03857142857142857,0.2922222222222222,0.2922222222222222
identity,"(5,)",1000,sgd,OneSidedSelection,0.6764285714285715,0.49333333333333335,0.8595238095238095,0.1404761904761905,0.5066666666666667,0.1922222222222222,0.6752380952380951,0.03,0.24444444444444446,0.24444444444444446
identity,"(50, 50)",1000,sgd,ClusterCentroids,0.6980158730158729,0.7022222222222222,0.6938095238095238,0.3061904761904762,0.29777777777777775,0.4677777777777778,0.4533333333333333,0.13,0.13,0.13
identity,"(5,)",1000,adam,SMOTEENN,0.6980158730158731,0.6055555555555555,0.7904761904761904,0.20952380952380953,0.39444444444444443,0.40111111111111103,0.6466666666666666,0.10761904761904761,0.23666666666666666,0.23666666666666666
identity,"(5,)",1000,sgd,RandomUnderSampler,0.7073015873015872,0.7222222222222222,0.6923809523809524,0.3076190476190476,0.2777777777777778,0.45,0.43904761904761896,0.1219047619047619,0.09999999999999999,0.09999999999999999
identity,"(5,)",1000,adam,SMOTETomek,0.7138888888888889,0.6944444444444443,0.7333333333333334,0.26666666666666666,0.3055555555555555,0.4822222222222223,0.5557142857142857,0.14333333333333334,0.15333333333333332,0.15333333333333332
identity,"(100,)",1000,lbgfs,None,0.6717460317460318,0.48444444444444446,0.8590476190476192,0.14095238095238094,0.5155555555555555,0.24444444444444446,0.719047619047619,0.04238095238095238,0.2966666666666667,0.2966666666666667
identity,"(50, 50)",1000,sgd,EditedNearestNeighbours,0.7216666666666667,0.7533333333333333,0.69,0.31,0.24666666666666667,0.5933333333333333,0.5304761904761905,0.19904761904761906,0.1388888888888889,0.1388888888888889
identity,"(50, 50)",1000,adam,ClusterCentroids,0.6976984126984127,0.7077777777777777,0.6876190476190476,0.3123809523809524,0.2922222222222222,0.4911111111111111,0.5042857142857143,0.16095238095238096,0.1433333333333333,0.1433333333333333
identity,"(5,)",1000,sgd,TomekLinks,0.6785714285714287,0.5,0.8571428571428572,0.14285714285714288,0.5000000000000001,0.19555555555555557,0.67,0.028571428571428567,0.23777777777777775,0.23777777777777775
identity,"(50, 50)",1000,adam,EditedNearestNeighbours,0.7131746031746032,0.7511111111111112,0.6752380952380953,0.32476190476190475,0.24888888888888885,0.6244444444444444,0.5619047619047618,0.2204761904761905,0.15666666666666665,0.15666666666666665
identity,"(5,)",1000,sgd,ADASYN,0.7130952380952381,0.7133333333333334,0.712857142857143,0.28714285714285714,0.2866666666666667,0.3977777777777778,0.45714285714285713,0.0976190476190476,0.0922222222222222,0.0922222222222222
identity,"(100,)",1000,lbgfs,ClusterCentroids,0.6922222222222222,0.6977777777777776,0.6866666666666665,0.31333333333333335,0.3022222222222222,0.49666666666666676,0.5076190476190475,0.16285714285714284,0.16,0.16
identity,"(100,)",1000,lbgfs,EditedNearestNeighbours,0.7148412698412699,0.7544444444444446,0.6752380952380953,0.3247619047619048,0.24555555555555553,0.6144444444444445,0.5590476190476191,0.21857142857142856,0.15555555555555556,0.15555555555555556
