layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(20, 'lin'), (20, 'lin')]",NeighbourhoodCleaningRule,0.36678448073868641,0.35880735283728038,0.6956349206349207,0.6688888888888888,0.7223809523809525,0.2776190476190476,0.3311111111111111,0.3788888888888889,0.46571428571428575,0.09428571428571429,0.1388888888888889,0.1388888888888889,0.06312123934427898
"[(50, 'sigm')]",NeighbourhoodCleaningRule,0.36326077158524117,0.35321895807520498,0.6947619047619048,0.68,0.7095238095238097,0.29047619047619044,0.32,0.39666666666666667,0.4585714285714286,0.10952380952380952,0.11666666666666665,0.11666666666666665,0.02492968241373698
"[(50, 'tanh')]",NeighbourhoodCleaningRule,0.34256387498296031,0.33541110586098338,0.6823809523809524,0.6466666666666666,0.7180952380952381,0.28190476190476194,0.35333333333333333,0.3544444444444444,0.44,0.10523809523809524,0.12111111111111111,0.12111111111111111,0.018155972162882488
"[(50, 'rbf_l1')]",NeighbourhoodCleaningRule,0.054561133328494445,0.047569047401033217,0.5207142857142857,0.20333333333333337,0.8380952380952381,0.16190476190476188,0.7966666666666667,0.013333333333333334,0.02857142857142857,0.0009523809523809524,0.007777777777777778,0.007777777777777778,0.030404090881347656
"[(50, 'rbf_l2')]",NeighbourhoodCleaningRule,0.3723668730781089,0.36279754122768676,0.699206349206349,0.6822222222222223,0.7161904761904762,0.2838095238095238,0.31777777777777777,0.4133333333333334,0.4747619047619048,0.11380952380952382,0.1277777777777778,0.1277777777777778,0.043046156565348305
"[(20, 'sigm'), (2, 'rbf_l2')]",OneSidedSelection,0.30380030282639564,0.29026184914312875,0.6298412698412699,0.37111111111111117,0.8885714285714285,0.11142857142857143,0.6288888888888889,0.09222222222222222,0.5771428571428571,0.013333333333333334,0.2355555555555556,0.2355555555555556,0.04372429847717285
"[(50, 'lin')]",OneSidedSelection,0.37532332017326864,0.37308261583623903,0.6788095238095239,0.5066666666666667,0.850952380952381,0.14904761904761904,0.4933333333333334,0.1922222222222222,0.6033333333333333,0.02619047619047619,0.18111111111111108,0.18111111111111108,0.03503084182739258
"[(20, 'sigm'), (20, 'sigm')]",OneSidedSelection,0.31920809068249506,0.31337757575528252,0.6457936507936508,0.43111111111111117,0.8604761904761905,0.13952380952380952,0.568888888888889,0.1277777777777778,0.5833333333333334,0.027619047619047616,0.21666666666666665,0.21666666666666665,0.026544729868570965
"[(20, 'lin'), (20, 'lin')]",OneSidedSelection,0.35442239297825395,0.34812063867140441,0.661904761904762,0.4533333333333333,0.8704761904761904,0.1295238095238095,0.5466666666666667,0.12777777777777777,0.5828571428571429,0.022857142857142854,0.2133333333333333,0.2133333333333333,0.03446809450785319
"[(20, 'sigm'), (2, 'rbf_l2')]",RandomUnderSampler,0.32119204579869448,0.30879676890305202,0.6734126984126984,0.6711111111111111,0.6757142857142857,0.3242857142857143,0.32888888888888884,0.2933333333333333,0.29238095238095235,0.09904761904761905,0.08111111111111112,0.08111111111111112,0.14806763331095377
"[(50, 'sigm')]",OneSidedSelection,0.36349861176220166,0.3606802510981395,0.6720634920634921,0.49222222222222217,0.8519047619047617,0.14809523809523809,0.5077777777777778,0.15555555555555556,0.59,0.027619047619047616,0.20333333333333334,0.20333333333333334,0.028171777725219727
"[(50, 'tanh')]",OneSidedSelection,0.30567694346022756,0.30094678766626942,0.6409523809523809,0.43,0.8519047619047618,0.14809523809523809,0.57,0.13444444444444445,0.5761904761904761,0.02619047619047619,0.21777777777777776,0.21777777777777776,0.04237047831217448
"[(50, 'rbf_l1')]",OneSidedSelection,0.017413086663754403,0.0031013110528381738,0.5011904761904762,0.03666666666666667,0.9657142857142857,0.03428571428571429,0.9633333333333334,0.007777777777777777,0.03238095238095238,0.0,0.01333333333333333,0.01333333333333333,0.10073685646057129
"[(50, 'lin')]",RandomUnderSampler,0.38155421244714471,0.36794226776761191,0.7056349206349206,0.7122222222222222,0.699047619047619,0.3009523809523809,0.2877777777777778,0.42444444444444446,0.4304761904761905,0.11714285714285715,0.1111111111111111,0.1111111111111111,0.1982900301615397
