layers,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(75, 'rbf_linf'), (75, 'rbf_linf')]",SMOTE,0.6616666666666667,0.56,0.7633333333333333,0.23666666666666666,0.43999999999999995,0.3344444444444445,0.5623809523809524,0.0880952380952381,0.2333333333333333,0.2333333333333333
"[(100, 'sigm'), (100, 'sigm')]",RandomOverSampler,0.6482539682539682,0.5888888888888889,0.7076190476190476,0.2923809523809524,0.41111111111111115,0.3766666666666667,0.49809523809523815,0.13523809523809524,0.2233333333333333,0.2233333333333333
"[(100, 'tanh'), (100, 'tanh')]",NeighbourhoodCleaningRule,0.6699999999999999,0.6466666666666666,0.6933333333333334,0.30666666666666664,0.35333333333333333,0.4477777777777778,0.49380952380952375,0.1433333333333333,0.1711111111111111,0.1711111111111111
"[(100, 'lin'), (100, 'lin')]",TomekLinks,0.6794444444444444,0.5122222222222222,0.8466666666666667,0.15333333333333332,0.4877777777777778,0.19000000000000003,0.5990476190476189,0.02619047619047619,0.18333333333333332,0.18333333333333332
"[(100, 'lin'), (100, 'lin')]",ADASYN,0.7153968253968254,0.7088888888888888,0.7219047619047618,0.2780952380952381,0.2911111111111111,0.36000000000000004,0.42904761904761907,0.08476190476190475,0.08,0.08
"[(100, 'lin'), (100, 'lin')]",RandomOverSampler,0.7130952380952381,0.7133333333333334,0.712857142857143,0.2871428571428572,0.2866666666666666,0.40888888888888886,0.4523809523809524,0.10523809523809523,0.10000000000000002,0.10000000000000002
"[(100, 'sigm'), (100, 'sigm')]",SMOTE,0.6504761904761905,0.5766666666666668,0.7242857142857142,0.27571428571428575,0.42333333333333334,0.35111111111111115,0.5333333333333333,0.12999999999999998,0.2388888888888889,0.2388888888888889
"[(75, 'rbf_linf'), (75, 'rbf_linf')]",SMOTEENN,0.6549999999999999,0.4833333333333334,0.8266666666666667,0.17333333333333334,0.5166666666666667,0.24,0.6409523809523808,0.06619047619047619,0.28444444444444444,0.28444444444444444
"[(100, 'tanh'), (100, 'tanh')]",OneSidedSelection,0.6490476190476191,0.5066666666666667,0.7914285714285715,0.20857142857142855,0.49333333333333335,0.28111111111111114,0.5785714285714286,0.07809523809523809,0.2544444444444444,0.2544444444444444
"[(100, 'lin'), (100, 'lin')]",SMOTE,0.7166666666666668,0.7166666666666667,0.7166666666666668,0.2833333333333333,0.2833333333333334,0.4255555555555555,0.4704761904761905,0.11476190476190475,0.10333333333333332,0.10333333333333332
"[(100, 'tanh'), (100, 'tanh')]",RandomUnderSampler,0.6349999999999999,0.6666666666666666,0.6033333333333333,0.39666666666666667,0.3333333333333333,0.48888888888888893,0.43333333333333335,0.2414285714285714,0.2077777777777778,0.2077777777777778
"[(100, 'sigm'), (100, 'sigm')]",SMOTEENN,0.6476190476190476,0.5133333333333333,0.7819047619047619,0.2180952380952381,0.48666666666666675,0.3133333333333333,0.6019047619047618,0.10095238095238095,0.29888888888888887,0.29888888888888887
"[(100, 'tanh'), (100, 'tanh')]",TomekLinks,0.6591269841269841,0.5344444444444445,0.7838095238095238,0.21619047619047618,0.4655555555555555,0.27999999999999997,0.5814285714285714,0.08476190476190476,0.2688888888888889,0.2688888888888889
"[(100, 'lin'), (100, 'lin')]",SMOTEENN,0.701031746031746,0.6211111111111111,0.7809523809523808,0.21904761904761905,0.3788888888888889,0.3277777777777778,0.5504761904761905,0.07952380952380951,0.1711111111111111,0.1711111111111111
"[(75, 'rbf_linf'), (75, 'rbf_linf')]",SMOTETomek,0.663968253968254,0.5588888888888889,0.769047619047619,0.23095238095238094,0.44111111111111106,0.33111111111111113,0.559047619047619,0.08619047619047619,0.21666666666666667,0.21666666666666667
"[(100, 'tanh'), (100, 'tanh')]",ADASYN,0.6673809523809524,0.5966666666666667,0.7380952380952381,0.2619047619047619,0.4033333333333333,0.3433333333333333,0.5157142857142857,0.10999999999999999,0.20666666666666667,0.20666666666666667
"[(100, 'tanh'), (100, 'tanh')]",RandomOverSampler,0.6455555555555555,0.5877777777777777,0.7033333333333333,0.2966666666666667,0.41222222222222227,0.3744444444444444,0.4895238095238095,0.14142857142857143,0.22666666666666668,0.22666666666666668
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",None,0.5076190476190475,0.02666666666666667,0.9885714285714285,0.011428571428571429,0.9733333333333333,0.017777777777777778,0.10047619047619048,0.0,0.08555555555555557,0.08555555555555557
"[(100, 'sigm'), (100, 'sigm')]",SMOTETomek,0.6681746031746032,0.5844444444444444,0.7519047619047617,0.24809523809523806,0.4155555555555555,0.3655555555555556,0.5314285714285715,0.10857142857142855,0.21888888888888888,0.21888888888888888
"[(100, 'tanh'), (100, 'tanh')]",SMOTE,0.6406349206349207,0.5622222222222223,0.7190476190476192,0.2809523809523809,0.43777777777777777,0.3344444444444445,0.5114285714285715,0.1257142857142857,0.2522222222222222,0.2522222222222222
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",None,0.6464285714285714,0.4733333333333334,0.8195238095238094,0.18047619047619046,0.5266666666666667,0.26555555555555554,0.6228571428571429,0.05857142857142856,0.28777777777777774,0.28777777777777774
"[(100, 'lin'), (100, 'lin')]",SMOTETomek,0.7157142857142857,0.71,0.7214285714285715,0.2785714285714285,0.29,0.42111111111111105,0.47285714285714286,0.11238095238095236,0.10444444444444445,0.10444444444444445
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",None,0.6553174603174603,0.47444444444444445,0.8361904761904762,0.16380952380952382,0.5255555555555556,0.24888888888888894,0.6352380952380953,0.060952380952380945,0.31,0.31
"[(100, 'tanh'), (100, 'tanh')]",SMOTEENN,0.6517460317460317,0.5177777777777778,0.7857142857142856,0.21428571428571427,0.4822222222222223,0.3033333333333333,0.6047619047619047,0.09285714285714286,0.27444444444444444,0.27444444444444444
"[(100, 'tanh'), (100, 'tanh')]",SMOTETomek,0.658968253968254,0.5822222222222223,0.7357142857142858,0.2642857142857143,0.4177777777777778,0.3633333333333333,0.5261904761904762,0.11523809523809525,0.2111111111111111,0.2111111111111111
"[(5, 'sigm'), (50, 'sigm')]",None,0.6553174603174603,0.44111111111111106,0.8695238095238095,0.13047619047619044,0.5588888888888889,0.15222222222222223,0.629047619047619,0.022857142857142857,0.23666666666666666,0.23666666666666666
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",ClusterCentroids,0.5488095238095237,0.2966666666666667,0.800952380952381,0.19904761904761906,0.7033333333333333,0.034444444444444444,0.04904761904761904,0.007619047619047619,0.022222222222222223,0.022222222222222223
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",EditedNearestNeighbours,0.5445238095238095,0.27666666666666667,0.8123809523809524,0.18761904761904757,0.7233333333333333,0.04,0.07476190476190475,0.009047619047619047,0.024444444444444446,0.024444444444444446
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",ClusterCentroids,0.6162698412698413,0.6744444444444445,0.5580952380952381,0.44190476190476197,0.32555555555555554,0.4877777777777778,0.36904761904761907,0.25333333333333335,0.18444444444444444,0.18444444444444444
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",ClusterCentroids,0.5820634920634921,0.7255555555555556,0.43857142857142856,0.5614285714285715,0.27444444444444444,0.5333333333333333,0.2495238095238095,0.34904761904761905,0.1322222222222222,0.1322222222222222
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",EditedNearestNeighbours,0.6734920634920635,0.6755555555555556,0.6714285714285714,0.3285714285714286,0.3244444444444445,0.5122222222222222,0.4685714285714286,0.18523809523809523,0.16111111111111112,0.16111111111111112
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",EditedNearestNeighbours,0.6716666666666669,0.6866666666666666,0.6566666666666666,0.3433333333333333,0.31333333333333335,0.49,0.4566666666666667,0.1985714285714286,0.17555555555555555,0.17555555555555555
"[(5, 'sigm'), (50, 'sigm')]",ClusterCentroids,0.6773015873015873,0.6822222222222223,0.6723809523809523,0.32761904761904764,0.31777777777777777,0.39222222222222225,0.3971428571428571,0.12047619047619047,0.1311111111111111,0.1311111111111111
"[(5, 'sigm'), (50, 'sigm')]",EditedNearestNeighbours,0.6947619047619048,0.7166666666666667,0.6728571428571427,0.3271428571428572,0.2833333333333333,0.4488888888888889,0.44,0.15,0.0988888888888889,0.0988888888888889
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",InstanceHardnessThreshold,0.5716666666666667,0.5466666666666666,0.5966666666666668,0.4033333333333333,0.4533333333333333,0.0788888888888889,0.07095238095238095,0.03619047619047619,0.015555555555555559,0.015555555555555559
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",NearMiss,0.527936507936508,0.3844444444444444,0.6714285714285714,0.32857142857142857,0.6155555555555555,0.042222222222222223,0.07714285714285714,0.012857142857142859,0.02666666666666666,0.02666666666666666
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",InstanceHardnessThreshold,0.6707142857142857,0.8033333333333333,0.5380952380952381,0.4619047619047619,0.19666666666666668,0.6533333333333333,0.36761904761904757,0.2919047619047619,0.08,0.08
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",InstanceHardnessThreshold,0.668015873015873,0.7822222222222223,0.5538095238095239,0.4461904761904762,0.21777777777777776,0.6155555555555555,0.3738095238095238,0.2909523809523809,0.10000000000000002,0.10000000000000002
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",NearMiss,0.620952380952381,0.6499999999999999,0.5919047619047618,0.40809523809523807,0.35000000000000003,0.4655555555555555,0.43142857142857133,0.2557142857142857,0.2011111111111111,0.2011111111111111
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",NearMiss,0.6342857142857143,0.6333333333333334,0.6352380952380953,0.3647619047619048,0.36666666666666664,0.4855555555555555,0.4647619047619049,0.23285714285714287,0.18666666666666665,0.18666666666666665
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",NeighbourhoodCleaningRule,0.5351587301587302,0.27222222222222225,0.7980952380952382,0.2019047619047619,0.7277777777777779,0.04111111111111111,0.07619047619047618,0.006666666666666667,0.025555555555555554,0.025555555555555554
"[(5, 'sigm'), (50, 'sigm')]",InstanceHardnessThreshold,0.6943650793650793,0.8311111111111112,0.5576190476190476,0.4423809523809524,0.1688888888888889,0.6477777777777778,0.34714285714285714,0.26285714285714284,0.04888888888888889,0.04888888888888889
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",NeighbourhoodCleaningRule,0.6857936507936508,0.6744444444444445,0.6971428571428572,0.3028571428571429,0.32555555555555554,0.47000000000000003,0.49619047619047624,0.15714285714285714,0.16555555555555557,0.16555555555555557
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",NeighbourhoodCleaningRule,0.6748412698412699,0.6577777777777777,0.6919047619047619,0.30809523809523814,0.34222222222222226,0.4366666666666667,0.5042857142857142,0.16333333333333333,0.19111111111111112,0.19111111111111112
"[(5, 'sigm'), (50, 'sigm')]",NearMiss,0.6502380952380952,0.6966666666666667,0.6038095238095238,0.3961904761904762,0.30333333333333334,0.4277777777777778,0.34809523809523807,0.18904761904761905,0.09666666666666666,0.09666666666666666
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",OneSidedSelection,0.5077777777777778,0.035555555555555556,0.9800000000000001,0.02,0.9644444444444445,0.02,0.07714285714285714,0.0004761904761904762,0.052222222222222225,0.052222222222222225
