C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovr,0.3684842105263158,rbf,ClusterCentroids,0.5440476190476191,0.9733333333333333,0.11476190476190477,0.8852380952380953,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,ClusterCentroids,0.540873015873016,0.43222222222222223,0.6495238095238095,0.35047619047619044,0.5677777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,InstanceHardnessThreshold,0.5723015873015872,0.9422222222222221,0.2023809523809524,0.7976190476190476,0.05777777777777779,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,InstanceHardnessThreshold,0.5671428571428571,0.91,0.22428571428571428,0.7757142857142857,0.09000000000000001,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,NearMiss,0.521031746031746,0.9611111111111111,0.08095238095238096,0.919047619047619,0.03888888888888889,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,InstanceHardnessThreshold,0.6047619047619048,0.9500000000000001,0.25952380952380955,0.7404761904761905,0.049999999999999996,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,InstanceHardnessThreshold,0.5636507936507936,0.7677777777777778,0.3595238095238095,0.6404761904761905,0.2322222222222222,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,NearMiss,0.5266666666666667,0.9466666666666667,0.10666666666666665,0.8933333333333334,0.05333333333333334,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,NearMiss,0.524047619047619,0.9733333333333333,0.07476190476190477,0.9252380952380953,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,NearMiss,0.5247619047619048,0.8700000000000001,0.17952380952380953,0.8204761904761906,0.13,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
