C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
1.061578947,2048,None,ovr,linear,10000,OneSidedSelection,0.530836109,0.519788177,0.744501339,0.579087552,0.909915125,0.090084875,0.420912448,0,0,0,0,0,48.29676906
0.535789474,2048,None,ovr,linear,10000,OneSidedSelection,0.53064913,0.518612981,0.743257684,0.573637279,0.912878088,0.087121912,0.426362721,0,0,0,0,0,50.07605934
0.01,2048,None,ovr,linear,10000,NeighbourhoodCleaningRule,0.388469977,0.388461078,0.694038809,0.597246788,0.790830831,0.209169169,0.402753212,0,0,0,0,0,31.77764503
1.587368421,2048,None,ovr,linear,10000,OneSidedSelection,0.532108996,0.522763104,0.747060642,0.588968232,0.905153052,0.094846948,0.411031768,0,0,0,0,0,44.20223713
1.587368421,2048,balanced,ovr,linear,10000,OneSidedSelection,0.51257125,0.502965867,0.767526977,0.787513809,0.747540145,0.252459855,0.212486191,0,0,0,0,0,46.84253327
1.061578947,2048,balanced,ovr,linear,10000,OneSidedSelection,0.515825552,0.505874347,0.769337297,0.791346089,0.747328505,0.252671495,0.208653911,0,0,0,0,0,48.20244257
1.061578947,2048,None,ovr,linear,10000,RandomUnderSampler,0.50344573,0.491302905,0.763575125,0.795595838,0.731554412,0.268445588,0.204404162,0,0,0,0,0,23.99728497
0.535789474,2048,None,ovr,linear,10000,RandomUnderSampler,0.501473294,0.488597282,0.762722218,0.798018859,0.727425577,0.272574423,0.201981141,0,0,0,0,0,24.64958771
0.01,2048,balanced,ovr,linear,10000,NeighbourhoodCleaningRule,0.400546763,0.400445513,0.701608982,0.618631023,0.78458694,0.21541306,0.381368977,0,0,0,0,0,31.20236373
1.587368421,2048,None,ovr,linear,10000,RandomUnderSampler,0.502391651,0.490451621,0.762978989,0.793980286,0.731977692,0.268022308,0.206019714,0,0,0,0,0,21.81066251
0.535789474,2048,balanced,ovr,linear,10000,OneSidedSelection,0.517446288,0.507185144,0.770276386,0.793966859,0.746585914,0.253414086,0.206033141,0,0,0,0,0,50.25743834
1.587368421,2048,balanced,ovr,linear,10000,RandomUnderSampler,0.502391651,0.490451621,0.762978989,0.793980286,0.731977692,0.268022308,0.206019714,0,0,0,0,0,21.7048289
1.061578947,2048,balanced,ovr,linear,10000,RandomUnderSampler,0.50344573,0.491302905,0.763575125,0.795595838,0.731554412,0.268445588,0.204404162,0,0,0,0,0,22.46376165
0.535789474,2048,balanced,ovr,linear,10000,RandomUnderSampler,0.501473294,0.488597282,0.762722218,0.798018859,0.727425577,0.272574423,0.201981141,0,0,0,0,0,25.14562702
0.01,2048,None,ovr,linear,10000,OneSidedSelection,0.393545195,0.369628292,0.666941789,0.423118191,0.910765387,0.089234613,0.576881809,0,0,0,0,0,51.41280214
1.061578947,2048,None,ovr,linear,10000,TomekLinks,0.531446521,0.520016975,0.744379414,0.577679514,0.911079315,0.088920685,0.422320486,0,0,0,0,0,47.87378931
0.535789474,2048,None,ovr,linear,10000,TomekLinks,0.531108283,0.518790346,0.743176723,0.572627788,0.913725658,0.086274342,0.427372212,0,0,0,0,0,49.61309059
1.587368421,2048,None,ovr,linear,10000,TomekLinks,0.529394012,0.520264302,0.746013399,0.588356068,0.90367073,0.09632927,0.411643932,0,0,0,0,0,48.39653007
1.587368421,2048,balanced,ovr,linear,10000,TomekLinks,0.516512254,0.506964508,0.769539286,0.789528518,0.749550054,0.250449946,0.210471482,0,0,0,0,0,55.92053429
1.061578947,2048,balanced,ovr,linear,10000,TomekLinks,0.516528912,0.506469912,0.76973616,0.792356801,0.747115519,0.252884481,0.207643199,0,0,0,0,0,55.25192316
0.01,2048,None,ovr,linear,10000,RandomUnderSampler,0.376604984,0.375335253,0.683012111,0.548412829,0.817611393,0.182388607,0.451587171,0,0,0,0,0,29.44930991
0.01,2048,balanced,ovr,linear,10000,OneSidedSelection,0.403182779,0.40276962,0.698583723,0.584531112,0.812636334,0.187363666,0.415468888,0,0,0,0,0,67.50497874
0.535789474,2048,balanced,ovr,linear,10000,TomekLinks,0.517336899,0.506837005,0.770300405,0.79517959,0.74542122,0.25457878,0.20482041,0,0,0,0,0,55.69410491
