algorithm,leaf_size,n_neighbors,p,weights,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
auto,20,95,3,uniform,InstanceHardnessThreshold,0.471927632,0.206990273,0.747806392,0.853718453,0.641894331,0.358105669,0.146281547,0.605511917,0.472202623,0.195301015,0.073236901,0.073236901
auto,20,95,3,distance,InstanceHardnessThreshold,0.474537201,0.220477838,0.748577978,0.871668955,0.625487,0.374513,0.128331045,0.771986939,0.488295859,0.254472119,0.072232293,0.072232293
auto,20,110,2,distance,EditedNearestNeighbours,0.363265611,0.282886837,0.677559358,0.916471665,0.43864705,0.56135295,0.083528335,0.838985016,0.3134299,0.3902913,0.051445574,0.051445574
auto,20,80,3,uniform,ADASYN,0.485869363,0.185331657,0.755480057,0.82989838,0.681061734,0.318938266,0.17010162,0.488272453,0.433562638,0.108718298,0.064561018,0.064561018
auto,20,110,1,uniform,InstanceHardnessThreshold,0.336607529,0.311390697,0.664895885,0.897702707,0.432089064,0.567910936,0.102297293,0.655346211,0.269182796,0.37567719,0.046000183,0.046000183
auto,20,80,3,distance,ADASYN,0.483269412,0.189550541,0.754175294,0.829088468,0.679262119,0.320737881,0.170911532,0.650711953,0.442561721,0.138568148,0.088169917,0.088169917
auto,20,110,1,distance,InstanceHardnessThreshold,0.342133064,0.324502232,0.665152219,0.915255272,0.415049167,0.584950833,0.084744728,0.829295981,0.301889452,0.449034244,0.048423205,0.048423205
auto,20,110,1,uniform,NearMiss,0.328266298,0.220412122,0.666477458,0.848254753,0.484700162,0.515299838,0.151745247,0.41626049,0.313105711,0.107125949,0.056486924,0.056486924
auto,20,95,3,uniform,NearMiss,0.424241314,0.194251243,0.722756274,0.770169978,0.675342569,0.324657431,0.229830022,0.419489762,0.440139972,0.119829409,0.071216088,0.071216088
auto,20,95,3,distance,NearMiss,0.436729655,0.190924905,0.728892645,0.761693064,0.696092227,0.303907773,0.238306936,0.526218682,0.461204566,0.11580589,0.090993317,0.090993317
auto,20,110,1,distance,NearMiss,0.321560323,0.215827443,0.665310934,0.820410144,0.510211724,0.489788276,0.179589856,0.512897556,0.350478546,0.097493292,0.078079893,0.078079893
auto,20,110,1,uniform,NeighbourhoodCleaningRule,0.280504748,0.312562923,0.627303777,0.91789252,0.336715034,0.663284966,0.08210748,0.848866917,0.199107174,0.5107489,0.030253593,0.030253593
auto,20,110,1,distance,NeighbourhoodCleaningRule,0.304614088,0.321459843,0.639654406,0.927774421,0.351534392,0.648465608,0.072225579,0.872277457,0.247696604,0.516681387,0.050030211,0.050030211
auto,20,110,1,uniform,OneSidedSelection,0.355018815,0.204743836,0.683457365,0.8315121,0.53540263,0.46459737,0.1684879,0.379345723,0.327289979,0.073676029,0.058705484,0.058705484
auto,20,110,1,distance,OneSidedSelection,0.364656442,0.196533964,0.690107595,0.812739479,0.567475711,0.432524289,0.187260521,0.501601514,0.374611923,0.07187591,0.077273643,0.077273643
