class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,,3,2,random,NeighbourhoodCleaningRule,0.43873486,0.195726034,0.729058708,0.753241783,0.704875632,0.295124368,0.246758217,0.629107998,0.458223265,0.166605934,0.085355672,0.085355672
,gini,,auto,,3,3,random,NearMiss,0.328671783,0.240643975,0.669908579,0.801029632,0.538787527,0.461212473,0.198970368,0.604927218,0.454853677,0.308580345,0.117625195,0.117625195
,gini,,auto,,2,3,best,NeighbourhoodCleaningRule,0.502122575,0.205715435,0.763706143,0.826666667,0.70074562,0.29925438,0.173333333,0.746352956,0.597018699,0.240612714,0.105126186,0.105126186
,gini,,auto,,3,3,best,NeighbourhoodCleaningRule,0.493929214,0.200019243,0.759370835,0.831120266,0.687621403,0.312378597,0.168879734,0.762537764,0.593099486,0.256708978,0.107136623,0.107136623
,gini,,auto,,2,2,best,OneSidedSelection,0.495932729,0.161916401,0.750501135,0.692271354,0.808730916,0.191269084,0.307728646,0.486110043,0.689013047,0.073673674,0.164660502,0.164660502
,gini,,auto,,3,2,best,NeighbourhoodCleaningRule,0.493929214,0.200019243,0.759370835,0.831120266,0.687621403,0.312378597,0.168879734,0.762537764,0.593099486,0.256708978,0.107136623,0.107136623
,gini,,auto,,2,3,random,OneSidedSelection,0.508967857,0.152781014,0.741142233,0.599460466,0.882824,0.117176,0.400539534,0.456804297,0.662302302,0.053772596,0.174909823,0.174909823
,gini,,auto,,2,2,random,OneSidedSelection,0.508967857,0.152781014,0.741142233,0.599460466,0.882824,0.117176,0.400539534,0.456804297,0.662302302,0.053772596,0.174909823,0.174909823
,gini,,auto,,2,2,best,RandomUnderSampler,0.490970166,0.192289555,0.75689932,0.792193842,0.721604798,0.278395202,0.207806158,0.679386005,0.569491004,0.19265669,0.105524123,0.105524123
,gini,,auto,,3,3,random,NeighbourhoodCleaningRule,0.43873486,0.195726034,0.729058708,0.753241783,0.704875632,0.295124368,0.246758217,0.629107998,0.458223265,0.166605934,0.085355672,0.085355672
,gini,,auto,,3,2,random,OneSidedSelection,0.495647785,0.155498679,0.732669087,0.580722634,0.88461554,0.11538446,0.419277366,0.414607098,0.684760222,0.047421034,0.216099362,0.216099362
,gini,,auto,,2,3,random,RandomUnderSampler,0.472182093,0.179997325,0.746131476,0.769178187,0.723084765,0.276915235,0.230821813,0.601068083,0.51052296,0.128506321,0.086356007,0.086356007
,gini,,auto,,2,2,random,RandomUnderSampler,0.472182093,0.179997325,0.746131476,0.769178187,0.723084765,0.276915235,0.230821813,0.601068083,0.51052296,0.128506321,0.086356007,0.086356007
,gini,,auto,,3,2,random,RandomUnderSampler,0.472153766,0.176558183,0.741919507,0.710047911,0.773791102,0.226208898,0.289952089,0.579291403,0.433262338,0.122049613,0.066386524,0.066386524
,gini,,auto,,2,3,best,OneSidedSelection,0.495932729,0.161916401,0.750501135,0.692271354,0.808730916,0.191269084,0.307728646,0.486110043,0.689013047,0.073673674,0.164660502,0.164660502
,gini,,auto,,2,3,best,RandomUnderSampler,0.490970166,0.192289555,0.75689932,0.792193842,0.721604798,0.278395202,0.207806158,0.679386005,0.569491004,0.19265669,0.105524123,0.105524123
,gini,,auto,,3,3,best,OneSidedSelection,0.496717923,0.157240062,0.750524503,0.689470536,0.811578469,0.188421531,0.310529464,0.45499527,0.691533046,0.069755806,0.165858586,0.165858586
,gini,,auto,,3,2,best,OneSidedSelection,0.496717923,0.157240062,0.750524503,0.689470536,0.811578469,0.188421531,0.310529464,0.45499527,0.691533046,0.069755806,0.165858586,0.165858586
,gini,,auto,,2,2,best,TomekLinks,0.494918846,0.163347483,0.749588011,0.688858983,0.81031704,0.18968296,0.311141017,0.4842705,0.693234579,0.079069153,0.163241478,0.163241478
,gini,,auto,,3,3,best,RandomUnderSampler,0.47696635,0.18808133,0.750202296,0.80166804,0.698736552,0.301263448,0.19833196,0.630127254,0.564413153,0.173279666,0.104518905,0.104518905
,gini,,auto,,2,3,random,TomekLinks,0.511688224,0.154325664,0.74279912,0.603099271,0.88249897,0.11750103,0.396900729,0.447114651,0.69205323,0.055150108,0.203375751,0.203375751
,gini,,auto,,3,2,best,RandomUnderSampler,0.47696635,0.18808133,0.750202296,0.80166804,0.698736552,0.301263448,0.19833196,0.630127254,0.564413153,0.173279666,0.104518905,0.104518905
,gini,,auto,,2,2,random,TomekLinks,0.511688224,0.154325664,0.74279912,0.603099271,0.88249897,0.11750103,0.396900729,0.447114651,0.69205323,0.055150108,0.203375751,0.203375751
,gini,,auto,,3,3,random,OneSidedSelection,0.495647785,0.155498679,0.732669087,0.580722634,0.88461554,0.11538446,0.419277366,0.414607098,0.684760222,0.047421034,0.216099362,0.216099362
,gini,,auto,,3,2,random,TomekLinks,0.502413972,0.153334577,0.733864357,0.575070341,0.892658373,0.107341627,0.424929659,0.407526626,0.686032587,0.041600087,0.213464555,0.213464555
,gini,,auto,,3,3,random,RandomUnderSampler,0.472153766,0.176558183,0.741919507,0.710047911,0.773791102,0.226208898,0.289952089,0.579291403,0.433262338,0.122049613,0.066386524,0.066386524
,gini,,auto,,2,3,best,TomekLinks,0.494918846,0.163347483,0.749588011,0.688858983,0.81031704,0.18968296,0.311141017,0.4842705,0.693234579,0.079069153,0.163241478,0.163241478
,gini,,auto,,3,3,best,TomekLinks,0.50652244,0.153645673,0.754124829,0.687043242,0.821206417,0.178793583,0.312956758,0.444745339,0.694609231,0.063514271,0.156366688,0.156366688
