C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,TRUE,5,liblinear,None,0.54503573,0.13387923,0.752917438,0.596234856,0.90960002,0.09039998,0.403765144,0.419686899,0.730599339,0.023182678,0.165459428,0.165459428
1,,FALSE,1,liblinear,None,0.542909041,0.134249117,0.75179676,0.594417285,0.909176235,0.090823765,0.405582715,0.42432604,0.725518964,0.024241384,0.164852757,0.164852757
1,,TRUE,1.733333333,liblinear,SMOTETomek,0.547235368,0.143506557,0.782458025,0.774403857,0.790512193,0.209487807,0.225596143,0.554878696,0.585684172,0.066159773,0.084954072,0.084954072
1,,FALSE,0.1,liblinear,None,0.542909041,0.134249117,0.75179676,0.594417285,0.909176235,0.090823765,0.405582715,0.42432604,0.725518964,0.024241384,0.164852757,0.164852757
1,,FALSE,1.733333333,liblinear,None,0.542909041,0.134249117,0.75179676,0.594417285,0.909176235,0.090823765,0.405582715,0.42432604,0.725518964,0.024241384,0.164852757,0.164852757
1,,TRUE,5,liblinear,ClusterCentroids,0.453252278,0.192465973,0.73661848,0.871465104,0.601771856,0.398228144,0.128534896,0.668888279,0.425207897,0.197948873,0.05266685,0.05266685
1,,FALSE,1.733333333,liblinear,ClusterCentroids,0.449219484,0.192724622,0.73454722,0.867429583,0.601664858,0.398335142,0.132570417,0.666872349,0.424257535,0.198584467,0.05226464,0.05226464
1,,FALSE,0.1,liblinear,ClusterCentroids,0.449219484,0.192724622,0.73454722,0.867429583,0.601664858,0.398335142,0.132570417,0.666872349,0.424257535,0.198584467,0.05226464,0.05226464
1,,FALSE,1,liblinear,ClusterCentroids,0.449219484,0.192724622,0.73454722,0.867429583,0.601664858,0.398335142,0.132570417,0.666872349,0.424257535,0.198584467,0.05226464,0.05226464
1,,TRUE,5,liblinear,EditedNearestNeighbours,0.484230848,0.203023394,0.753440071,0.876526595,0.630353547,0.369646453,0.123473405,0.809919741,0.488300065,0.268128128,0.059121731,0.059121731
1,,FALSE,1.733333333,liblinear,EditedNearestNeighbours,0.484803131,0.202343535,0.753757615,0.876526595,0.630988636,0.369011364,0.123473405,0.810324392,0.489781714,0.267599028,0.059121731,0.059121731
1,,FALSE,0.1,liblinear,EditedNearestNeighbours,0.484803131,0.202343535,0.753757615,0.876526595,0.630988636,0.369011364,0.123473405,0.810324392,0.489781714,0.267599028,0.059121731,0.059121731
1,,FALSE,1,liblinear,EditedNearestNeighbours,0.484803131,0.202343535,0.753757615,0.876526595,0.630988636,0.369011364,0.123473405,0.810324392,0.489781714,0.267599028,0.059121731,0.059121731
1,,TRUE,5,liblinear,InstanceHardnessThreshold,0.460096997,0.233264569,0.740389162,0.873285117,0.607493207,0.392506793,0.126714883,0.827273948,0.550116503,0.317139324,0.104720925,0.104720925
