Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default with balancer,Bernoulli Naive Bayes,0.36226499832875247,0.13034149588292163,0.7089475600423584,0.76423757746829801,0.33482691876581805,0.5349477682811016,0.8829473518036153,0.11705264819638489,0.4650522317188985,0.05233091633797889,0.020165435394578168,0.023933479272397706,0.049325822564404084,0.06748466548946534,0.03838889649767014,0.024363224508816294,
Default with balancer,Decision Tree,0.181311340164481,0.34987591564490483,0.6356349493874159,0.62288658701872068,0.0939528155864151,0.6023741690408356,0.6688957297339962,0.3311042702660037,0.3976258309591643,0.06450796048542164,0.036418373555508865,0.04740625393985997,0.04750352264499501,0.05134285808641325,0.09578027627479309,0.04912594206093038,
Default with balancer,Extreme Learning Machine,0.14475203973185968,0.27123749283178145,0.6097130600548392,0.65341126994375087,0.1440954313647181,0.5748338081671415,0.6445923119425369,0.3554076880574631,0.42516619183285853,0.07111255693888234,0.028373562140093348,0.05429124864155229,0.06429391614999544,0.07961247126800583,0.10725889292559512,0.041635878163117854,
Default with balancer,Gaussian Naive Bayes,0.28938677882320402,0.2217758370409291,0.7016128742815934,0.75182933013464248,0.3117470123471168,0.6347578347578348,0.7684679138053515,0.23153208619464838,0.3652421652421653,0.06984304293154939,0.03193912083830629,0.04519679483282258,0.04646911364830658,0.07597137050792885,0.080416943105851,0.036615074734294296,
Default with balancer,K-nearest neighbours,0.20772600007328981,0.16399895229168576,0.6284937929787564,0.684307551083145,0.16269142702417091,0.42108262108262107,0.8359049648748916,0.16409503512510853,0.578917378917379,0.06345445058345695,0.013911420779777969,0.0407769736277447,0.03304556570430483,0.05248264009866459,0.0856041999377217,0.025115519690836544,
Default with balancer,Logistic regression,0.30382198454650655,0.17210746121904569,0.7079697599564995,0.78405939166851613,0.35771273982908375,0.6296296296296295,0.7863098902833687,0.21369010971663116,0.3703703703703704,0.07254668578075991,0.013921033281391429,0.047742075728739015,0.05025911462432007,0.08019779104864123,0.0794543257711002,0.03147558124626216,
Default with balancer,Random forest,0.23920286692013529,0.22875980258089054,0.6757075293597514,0.71287687445789893,0.21610274627574,0.6520417853751187,0.6993732733443839,0.30062672665561607,0.34795821462488136,0.06480120421426198,0.024096452760885657,0.04649403096487217,0.042084915496238925,0.06190833050471218,0.08744082304680681,0.054472377867323486,
Default with balancer,SVM (RBF),0.31670314324536791,-9999.0,0.7049490905746331,-9999.0,-9999.0,0.5872744539411204,0.8226237272081459,0.17737627279185414,0.41272554605887934,0.050404097504827945,0.0,0.028701548343446955,0.0,0.0,0.05681473325502952,0.03707641099041929,
Tuned,AdaBoost,0.27701631347828848,0.24080357119892612,0.6995364349212323,0.78304628544584343,0.3573456877264392,0.6646723646723647,0.7344005051701002,0.26559949482989975,0.3353276353276354,0.06045138403606321,0.0022846485884461722,0.0413624680653974,0.04762069329902156,0.06324231108083675,0.07351641941214522,0.041534243091393565,
Tuned,Artificial neural network,0.30827891803120838,0.17070050776492621,0.7105502562618358,0.78483451878747501,0.3570744174164375,0.6321937321937321,0.7889067803299391,0.21109321967006078,0.36780626780626774,0.07256069340312896,0.014134884345133512,0.047258968580117355,0.048173083907023816,0.07896673318653526,0.0784160971212911,0.030011197402215466,
