Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default with balancer,AdaBoost,0.37348857047285361,0.2429527615066093,0.6997619047619049,0.76103968253968246,0.29298101248146285,0.69,0.7095238095238096,0.29047619047619044,0.30999999999999994,0.08501992074325126,0.001807464360562804,0.045140245052015464,0.05135614971088401,0.0867730616634472,0.07195677714974301,0.04685094809999559,
Default with balancer,Artificial neural network,0.36715469428975184,0.23072453778248966,0.6965079365079364,0.76400000000000012,0.28904409308312684,0.6944444444444444,0.6985714285714286,0.30142857142857143,0.3055555555555555,0.07567302118045104,0.03092504832628817,0.04057985480225668,0.0359170908477564,0.05880313757837964,0.07345108391572627,0.05607332420210904,
Default with balancer,Bernoulli Naive Bayes,0.3814456386966063,0.21033148114742931,0.7060317460317461,0.77623809523809517,0.30722438993115514,0.7277777777777776,0.6842857142857143,0.3157142857142857,0.2722222222222222,0.06115624515444462,0.020980331527475235,0.032502301408912374,0.03295730506148978,0.05497073353564405,0.04245549594342847,0.0435811854805621,
Default with balancer,Decision Tree,0.28977702172727154,0.39366666666666672,0.6562698412698413,0.65626984126984134,0.11630600891943424,0.781111111111111,0.5314285714285715,0.46857142857142864,0.21888888888888888,0.04941249215238153,0.03398365620248782,0.027280584390853423,0.027280584390853437,0.03965475776047404,0.048253446112463245,0.05375682206350507,
Default with balancer,Extreme Learning Machine,0.34208071140030494,0.25910559882373374,0.6848412698412698,0.76048015873015884,0.27647235968438727,0.8211111111111112,0.5485714285714285,0.45142857142857146,0.1788888888888889,0.050675315637677174,0.0206411503160502,0.02781901700691525,0.036063749684693516,0.06012406217154503,0.0414847882279877,0.04059087394500206,
Default with balancer,Gaussian Naive Bayes,0.33390708213309345,0.31402704565086997,0.6780952380952382,0.73928571428571432,0.2632220425176385,0.7466666666666666,0.6095238095238095,0.39047619047619037,0.2533333333333333,0.07260912659448479,0.07253662449113328,0.04292499038669267,0.0391881846135171,0.06252965929539259,0.09253627917180896,0.1329074832090749,
Default with balancer,K-nearest neighbours,0.3586181721741466,0.22586666666666669,0.6937301587301586,0.74715476190476171,0.22923604774766942,0.7088888888888889,0.6785714285714287,0.3214285714285714,0.2911111111111111,0.0430156780417873,0.014965144688761135,0.02302462887638887,0.023454840335150287,0.03934218868773956,0.042542643820170346,0.03370540641749787,
Default with balancer,Logistic regression,0.39816480579792629,0.19724204616496319,0.7124603174603175,0.78125396825396831,0.32196304998193676,0.7044444444444443,0.7204761904761905,0.27952380952380956,0.2955555555555555,0.08286641942616928,0.024368628998920602,0.04380104012635048,0.03969562165318557,0.07775219844924501,0.0710937478802062,0.05063317905150414,
Default with balancer,Random forest,0.35123761128362219,0.25770000000000004,0.6910317460317461,0.75239285714285697,0.24145467668591097,0.791111111111111,0.5909523809523809,0.409047619047619,0.20888888888888887,0.062559481349411,0.026086254362530977,0.03443164124568057,0.04272613463975794,0.0644780032362957,0.043404499965832476,0.04734205151099644,
Default with balancer,SVM (RBF),0.39775863068200662,-9999.0,0.7148412698412697,-9999.0,-9999.0,0.741111111111111,0.6885714285714287,0.31142857142857144,0.25888888888888884,0.06888237026629206,0.0,0.03657912314335885,0.0,0.0,0.05230489909306587,0.04447731210984996,
Tuned,AdaBoost,0.39237123289147868,0.2266066232607421,0.7096031746031746,0.78030158730158727,0.31814066908366917,0.701111111111111,0.718095238095238,0.28190476190476194,0.2988888888888888,0.07105572924047023,0.0033543588987980663,0.03742835601806694,0.034416770757109735,0.07206583756640364,0.06308919807368174,0.04378881498122915,
Tuned,Artificial neural network,0.40116639203057786,0.20848394954576133,0.7171428571428571,0.78153174603174602,0.3169985093212367,0.7566666666666666,0.6776190476190477,0.3223809523809524,0.24333333333333332,0.06555450763457013,0.022308099108499704,0.034851482756693954,0.0366337428629694,0.07272995148973953,0.05333333333333335,0.04715488062162716,
Tuned,Bernoulli Naive Bayes,0.38102722110499415,0.21162765543895468,0.7059523809523811,0.7757857142857143,0.30597310157117324,0.7299999999999999,0.681904761904762,0.3180952380952381,0.26999999999999996,0.062483391254770086,0.020942870215595964,0.033228292546382765,0.032788000923129605,0.05448294902025409,0.04225145187073678,0.04316293026142727,
