Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default with balancer,AdaBoost,0.68216502119257594,0.23012924989954395,0.8414706270748744,0.91090096943237853,0.641149692450485,0.845654856337035,0.8372863978127136,0.1627136021872864,0.1543451436629649,0.040577303198908815,0.0032888173926852752,0.020037933460242574,0.016385512311150943,0.04132801969122814,0.04266838011443094,0.04023652382036214,
Default with balancer,Artificial neural network,0.71217734119212617,0.10343222014833639,0.8562768454234958,0.92534742943604853,0.6711380628619403,0.850079323109466,0.8624743677375256,0.13752563226247438,0.1499206768905341,0.05662398769440813,0.01398686016692597,0.0284002181985183,0.015283723130815196,0.052734098822026655,0.04224027646475023,0.035681549717813024,
Default with balancer,Bernoulli Naive Bayes,0.70341545884853585,0.11212648311232239,0.8504706371958453,0.9199054526610263,0.6510498264203772,0.8315177154944474,0.8694235588972432,0.13057644110275687,0.16848228450555264,0.0540391018755218,0.015605821964538419,0.027366619826689306,0.014503103024084823,0.041926244105586416,0.052013956788605986,0.04207652647730783,
Default with balancer,Decision Tree,0.6961278575203127,0.16238155143926752,0.8475908083029072,0.84759080830290723,0.5369059540786704,0.9380045831129914,0.7571770334928228,0.24282296650717702,0.06199541688700863,0.04375550613395512,0.022827770314349793,0.022201214860279744,0.022201214860279716,0.06028753127108794,0.03698165863802456,0.03982368536297943,
Default with balancer,Extreme Learning Machine,0.71804458855791176,0.1357012725707358,0.8600104505048979,0.8723776534263884,0.6101621126466432,0.9271637581526527,0.7928571428571428,0.20714285714285718,0.07283624184734709,0.040553159591641325,0.020376739984027555,0.020193854823906517,0.029771009676020012,0.05961093695619871,0.04133728500310699,0.03120902741595716,
Default with balancer,Gaussian Naive Bayes,0.69922840279160203,0.15727652871400652,0.8493751625831562,0.87169573192632543,0.5846918015515146,0.9293495505023797,0.7694007746639325,0.23059922533606744,0.07065044949762031,0.04181989507613807,0.022566659957676278,0.020606682716946996,0.028400372068580714,0.06381559113647142,0.04645113448978018,0.043936834552154726,
Default with balancer,K-nearest neighbours,0.66437337429756638,0.12845277950917591,0.8327762732874201,0.89360001609716322,0.5608089983476349,0.8369469416534461,0.8286056049213945,0.17139439507860563,0.16305305834655384,0.04351388071170216,0.012696998029440559,0.022265139241829674,0.019308162278440167,0.04792907471195157,0.051708885486150165,0.028159252314230686,
Default with balancer,Logistic regression,0.7239825891755185,0.10210956196652395,0.863504845234089,0.9288353087902198,0.6756986880415291,0.8880486515071391,0.838961038961039,0.16103896103896104,0.1119513484928609,0.047588447139353444,0.012135731392868375,0.023828321037797095,0.01401125132471636,0.04893184506547537,0.03972341377311924,0.032012727536320125,
Default with balancer,Random forest,0.72206231049868452,0.10853144586837672,0.8592784091135004,0.91917181781915003,0.6393613598550593,0.8325577295963335,0.8859990886306673,0.11400091136933241,0.1674422704036665,0.05431613977889051,0.01190093443750236,0.027983053797570167,0.019224888269536205,0.05283282073804969,0.0532105492594149,0.03320925303334353,
Default with balancer,SVM (RBF),0.72101717115113106,-9999.0,0.8616544064357811,-9999.0,-9999.0,0.9260884893354485,0.7972203235361129,0.202779676463887,0.0739115106645514,0.03915373562324324,0.0,0.01978479336149232,0.0,0.0,0.03478497204090736,0.03592115212707331,
Tuned,AdaBoost,0.70252910216174869,0.14880287019580854,0.8488741474136281,0.91544358046695995,0.6536541111443133,0.8152124096597918,0.8825358851674638,0.11746411483253585,0.18478759034020797,0.037243296228010175,0.004027136737198028,0.018622414966771,0.01625405370211658,0.04906660781200328,0.042716350755939186,0.034352235947626805,
Tuned,Artificial neural network,0.71339634923759243,0.10225614256631795,0.8568108230289198,0.92870659775249387,0.66875986117309,0.8511017098536929,0.8625199362041468,0.13748006379585323,0.14889829014630707,0.03711828364727301,0.009446838466080685,0.019326388767492212,0.013021656473090717,0.03669658388042651,0.0431408682849184,0.027621797867250313,
Tuned,Bernoulli Naive Bayes,0.70065714470835472,0.11263344346899244,0.8490615058631146,0.92033575658293831,0.6523635087804825,0.8304424466772431,0.8676805650489862,0.1323194349510139,0.16955755332275693,0.05658580824134999,0.01549135519580992,0.028538894985056636,0.014196545117692113,0.040435030590926305,0.05235320476636849,0.04499485173831622,
Tuned,Decision Tree,0.63787396134409147,0.15214109780848328,0.8192432068103533,0.85743917567583694,0.5319140838957527,0.8664198836594396,0.7720665299612668,0.22793347003873318,0.13358011634056058,0.08247106587990759,0.030061578688989964,0.04145961556207431,0.04359179370171173,0.09920314944300881,0.05646484838264153,0.07000389037222225,
Tuned,Extreme Learning Machine,0.7214189261699836,0.10534925064190205,0.8619592494769928,0.92373319783281083,0.6714020595819342,0.9249779658029262,0.7989405331510596,0.20105946684894058,0.07502203419707386,0.04625187579865378,0.011077974968703877,0.023416829178959035,0.013591681485405108,0.0459933413741543,0.03726960362797714,0.035940934653710614,
Tuned,Gaussian Naive Bayes,0.69922840279160203,0.15727652871400652,0.8493751625831562,0.87169573192632543,0.5846918015515146,0.9293495505023797,0.7694007746639325,0.23059922533606744,0.07065044949762031,0.04181989507613807,0.022566659957676278,0.020606682716946996,0.028400372068580714,0.06381559113647142,0.04645113448978018,0.043936834552154726,
