Default time range,Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,initialisation_values
"(50, 100)",Bernoulli Naive Bayes,0.34766129019064063,0.3366199719260714,0.7015784901435148,0.5860221556305663,0.8171348246564634,0.18286517534353647,0.4139778443694339,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 150)",Bernoulli Naive Bayes,0.31198942452287864,0.28779333297793658,0.7019132099526934,0.5989410610321928,0.8048853588731943,0.19511464112680602,0.401058938967807,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(100, 200)",Bernoulli Naive Bayes,0.3352832055791059,0.30920958953145639,0.7146897729584474,0.6354471820693534,0.7939323638475406,0.20606763615245896,0.36455281793064637,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(200, 1000)",Bernoulli Naive Bayes,0.37294773023776367,0.35410809914291069,0.7250352624467434,0.6437959727693179,0.8062745521241693,0.19372544787583074,0.3562040272306822,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 30)",Decision Tree,0.27094494907471961,0.26235725147151323,0.6420617404180733,0.4774712434148672,0.8066522374212794,0.1933477625787205,0.5225287565851328,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 60)",Decision Tree,0.2580872586036857,0.25100016494467386,0.6355418243126361,0.4461752426228783,0.8249084060023942,0.17509159399760554,0.5538247573771217,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 100)",Decision Tree,0.21486918029290072,0.20150668563426966,0.626635163855015,0.46005264234175514,0.7932176853682749,0.20678231463172486,0.539947357658245,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 200)",Decision Tree,0.12531279769735881,0.09723948917221531,0.6049427647317702,0.46213102055207317,0.7477545089114668,0.2522454910885333,0.5378689794479269,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 100)",Decision Tree,0.24312865297736977,0.22699945946286676,0.6409514828083798,0.5254184516226207,0.756484513994139,0.24351548600586106,0.4745815483773792,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 150)",Decision Tree,0.22096686803617061,0.19780401860755198,0.6438141264981232,0.5357694068257155,0.7518588461705309,0.24814115382946905,0.46423059317428456,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(100, 200)",Decision Tree,0.23859835226575996,0.21127692148238822,0.6564206408707769,0.5841128740021384,0.728728407739416,0.2712715922605841,0.41588712599786176,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
