hidden_layer,number_of_hidden_nodes,output_layer,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
Rectifier,1,Softmax,OneSidedSelection,OneSidedSelection,0.6644179472249648,0.5208112874779542,0.8080246069719754,0.1919753930280246,0.4791887125220458,0.43368606701940043,0.5419229892914104,0.10029163818637503,0.22495590828924159,0.22495590828924159
Sigmoid,1,Softmax,NeighbourhoodCleaningRule,NeighbourhoodCleaningRule,0.6929216137988069,0.6188712522045855,0.766971975393028,0.23302802460697195,0.38112874779541445,0.5008818342151675,0.631636667426141,0.11872863978127136,0.26014109347442677,0.26014109347442677
Rectifier,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6430623275360118,0.4367724867724867,0.8493521682995366,0.15064783170046328,0.5632275132275132,0.3454144620811288,0.4670813397129187,0.08025974025974025,0.20520282186948854,0.20520282186948854
Sigmoid,1,Softmax,OneSidedSelection,OneSidedSelection,0.6919535792342811,0.6067901234567902,0.7771170350117718,0.22288296498822815,0.3932098765432099,0.48571428571428577,0.6497501329080277,0.121617680565049,0.277689594356261,0.277689594356261
Rectifier,1,Softmax,TomekLinks,TomekLinks,0.6758118359872745,0.5261022927689595,0.8255213792055898,0.17447862079441032,0.4738977072310406,0.41234567901234565,0.5603645477329687,0.0948659527606896,0.2320987654320988,0.2320987654320988
Sigmoid,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6962462553690623,0.6118165784832451,0.7806759322548796,0.21932406774512037,0.38818342151675483,0.49074074074074076,0.645045948203843,0.11902787271208325,0.2751322751322751,0.2751322751322751
Rectifier,1,Softmax,ADASYN,ADASYN,0.6715101727382429,0.5261022927689595,0.8169180527075263,0.18308194729247362,0.4738977072310406,0.4175485008818342,0.5521136173767753,0.08756436545910229,0.22716049382716044,0.22716049382716044
Sigmoid,1,Softmax,TomekLinks,TomekLinks,0.6918597419474612,0.5947971781305115,0.788922305764411,0.21107769423558898,0.4052028218694885,0.48800705467372135,0.6465755297334245,0.11493886230728334,0.2939153439153439,0.2939153439153439
Rectifier,1,Softmax,RandomOverSampler,RandomOverSampler,0.6750589014624103,0.5016754850088184,0.8484423179160022,0.1515576820839979,0.49832451499118163,0.3666666666666667,0.5756664388243337,0.07929368876737299,0.2589065255731922,0.2589065255731922
Sigmoid,1,Softmax,ADASYN,ADASYN,0.6893527590018819,0.5869488536155203,0.7917566643882434,0.20824333561175667,0.4130511463844797,0.48068783068783066,0.6641133135869978,0.10636591478696743,0.2945326278659612,0.2945326278659612
Rectifier,1,Softmax,SMOTE,SMOTE,0.6759076141532282,0.5310405643738978,0.8207746639325587,0.17922533606744132,0.46895943562610226,0.4000881834215168,0.6181954887218045,0.0887977519556467,0.26278659611992944,0.26278659611992944
Rectifier,1,Softmax,SMOTEENN,SMOTEENN,0.6826186678818257,0.5333333333333333,0.8319040024303183,0.16809599756968177,0.4666666666666666,0.41534391534391535,0.6207382091592618,0.08755373281689072,0.2723985890652557,0.2723985890652557
Sigmoid,1,Softmax,RandomOverSampler,RandomOverSampler,0.691467599976372,0.5910934744268078,0.791841725525936,0.2081582744740639,0.40890652557319224,0.44682539682539685,0.6476387939545835,0.11330143540669856,0.2806878306878307,0.2806878306878307
Rectifier,1,Softmax,SMOTETomek,SMOTETomek,0.6479819076310305,0.4583774250440918,0.8375863902179691,0.16241360978203084,0.5416225749559082,0.34885361552028216,0.5261441482494114,0.0799346851978431,0.24285714285714288,0.24285714285714288
Sigmoid,1,Softmax,SMOTE,SMOTE,0.6927985789389298,0.5966490299823634,0.7889481278954964,0.21105187210450368,0.4033509700176367,0.48315696649029977,0.6654302422723476,0.11014961646540593,0.2923280423280423,0.2923280423280423
Sigmoid,1,Softmax,SMOTEENN,SMOTEENN,0.6966681434225294,0.6014991181657848,0.7918371686792739,0.20816283132072608,0.3985008818342151,0.4999118165784832,0.6533667502088555,0.11141338193969774,0.2850970017636684,0.2850970017636684
Sigmoid,1,Softmax,SMOTETomek,SMOTETomek,0.6830363788258526,0.5698412698412698,0.7962314878104352,0.20376851218956482,0.43015873015873013,0.46596119929453267,0.6733135869977974,0.10826004404951774,0.2994708994708995,0.2994708994708995
