None,ANOVA_CHI2,Logistic regression,Bernoulli Naive Bayes,SVM (linear),Decision Tree,Random forest
0.6709123757904245,0.6801264679313459,0.658717253839205,0.6747967479674797,0.6763324299909665,0.691869918699187,0.6733514001806684
0.6524390243902439,0.6762664165103189,0.6408067542213883,0.6524390243902439,0.6524390243902439,0.6524390243902439,0.6408067542213883
0.6967817331895001,0.693455591513844,0.7468536497662711,0.6983099604458828,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.6967817331895001,0.693455591513844,0.7468536497662711,0.6983099604458828,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7465839626033801,0.7811938151743977,0.7368752247393024,0.7465839626033801,0.7602481121898598,0.7183567062207838,0.7280654440848615
0.6967817331895001,0.693455591513844,0.7468536497662711,0.6983099604458828,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7465839626033801,0.7811938151743977,0.7368752247393024,0.7465839626033801,0.7602481121898598,0.7183567062207838,0.7280654440848615
0.6573175116864437,0.6661272923408845,0.6974110032362459,0.6573175116864437,0.6800611290902553,0.6758360302049622,0.6612729234088457
0.6967817331895001,0.693455591513844,0.7468536497662711,0.6983099604458828,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7465839626033801,0.7811938151743977,0.7368752247393024,0.7465839626033801,0.7602481121898598,0.7183567062207838,0.7280654440848615
0.6573175116864437,0.6661272923408845,0.6974110032362459,0.6573175116864437,0.6800611290902553,0.6758360302049622,0.6612729234088457
0.7060523938572718,0.7036133694670279,0.7240289069557362,0.7060523938572718,0.7060523938572718,0.6816621499548329,0.6323396567299007
0.6967817331895001,0.693455591513844,0.7468536497662711,0.6983099604458828,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7465839626033801,0.7811938151743977,0.7368752247393024,0.7465839626033801,0.7602481121898598,0.7183567062207838,0.7280654440848615
0.6573175116864437,0.6661272923408845,0.6974110032362459,0.6573175116864437,0.6800611290902553,0.6758360302049622,0.6612729234088457
0.7060523938572718,0.7036133694670279,0.7240289069557362,0.7060523938572718,0.7060523938572718,0.6816621499548329,0.6323396567299007
0.7122889305816136,0.7312382739212007,0.6695121951219511,0.7339587242026266,0.6594746716697937,0.7122889305816136,0.6824577861163227
0.6886012225818051,0.6901294498381877,0.6667565623876304,0.6886012225818051,0.6506652283351313,0.7037935994246673,0.7435275080906149
0.6886012225818051,0.6901294498381877,0.6667565623876304,0.6886012225818051,0.6506652283351313,0.7037935994246673,0.7435275080906149
0.8361201006832075,0.8151743976986695,0.7944983818770226,0.8361201006832075,0.7944983818770226,0.7860481841064365,0.8193994965839626
