None,ClusterCentroids,EditedNearestNeighbours,InstanceHardnessThreshold,NearMiss,NeighbourhoodCleaningRule,OneSidedSelection,RandomUnderSampler,TomekLinks,ADASYN,RandomOverSampler,SMOTE,SMOTEENN,SMOTETomek
-9999,-9999,-9999,0.4914687538387633,0.5042168565455059,-9999,0.24537410958452077,-9999,0.3128826484654934,-9999,0.5954449629155538,0.5481763800158168,-9999,0.5481763800158168
-9999,-9999,-9999,0.25569578275607185,0.21295174438283615,-9999,0.1698496235282272,-9999,0.23691888574694453,-9999,0.31062095033921777,0.2659832060733789,-9999,0.2659832060733789
-9999,-9999,-9999,0.18856635384954545,0.2047049684714215,-9999,0.20579352470608192,-9999,0.17209808865117115,-9999,0.3159264620815011,0.23425683872992908,-9999,0.23425683872992908
-9999,-9999,-9999,0.36029715742238855,0.2874494878122146,-9999,0.1950498833921951,-9999,0.2589808457382463,-9999,0.2719256209369846,0.35704733872627914,-9999,0.35704733872627914
-9999,-9999,-9999,0.18288113079291524,0.20008766870258277,-9999,0.13686056585736617,-9999,0.21099139086286378,-9999,0.2570170353087483,0.2077270604330862,-9999,0.2077270604330862
0.2869041518728701,0.47790345380822297,0.47199100318809084,0.4285039315439375,0.30117143210029884,0.4670113243448295,0.34725520685410616,0.4415441653114691,0.33913851179072463,0.4215769265150776,0.43919777669329685,0.4826526245626137,0.445014939378805,0.4432710216117728
0.2532381733385647,0.23995321198817787,0.2505118109710881,0.21605521290734464,0.2740467143073627,0.2351110597480116,0.2537969608218452,0.3048255147251967,0.17527656547796433,0.27669548116286713,0.2648999505574301,0.2636470420273992,0.27114344801620016,0.2706789373776961
0.4085304565724265,0.43288552343071374,0.397136004317198,0.28089737896524825,0.29645862766520337,0.42593162654261396,0.2763440552277253,0.4303847367878342,0.28789386501123415,0.3870723900854329,0.4053609621843579,0.4466863853323664,0.46538124897832955,0.44916266398810734
0.27445963495994674,0.3285193425064522,0.35153612032749393,0.3489520208185948,0.2628220944337608,0.33017695171257044,0.27600157634768663,0.31252071635326795,0.2526973463106963,0.365825269650915,0.25386802703186684,0.3000394021176803,0.331242128124675,0.2943150031722822
0.19036655086160803,0.1833174575887525,0.2314807518587516,0.1645203436509889,0.19671487680403943,0.20589868817495138,0.19001590672451352,0.1742008423487914,0.22030010820907564,0.20437913512405992,0.21539821669730475,0.17387848034386832,0.1848255927875767,0.21098076363105
0.1965112739353817,0.24034863860921385,0.3364796031279591,0.2613575539215627,0.24891035032346187,0.3139146778055183,0.21127827739615657,0.3352616683751206,0.28589348840849715,0.3230472793578497,0.3214614931169544,0.2938164992678587,0.3235714870293448,0.3173532387112077
0.1647387463441662,0.2858258778694238,0.35663015026129763,0.24619023074388713,0.2913663308319425,0.32594957161449944,0.217080122161317,0.34507412189385034,0.2418559281071383,0.2918897481667231,0.30132670539441186,0.2830626004623472,0.29561552096233745,0.31048065926115365
0.33272109000398875,0.3706917354630478,0.3518098969634078,0.39246009896551615,0.25109551597704227,0.33179704070486393,0.2325975346451512,0.36079020156134134,0.4240442032746271,0.45087636461913305,0.39376201395880794,0.37704503426995584,0.38934269349244754,0.33913954032871985
