Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
SMOTEENN,Artificial neural network,0.4097312552937647,0.17635875852150962,0.7097619047619048,0.779984126984127,0.32088833240711767,0.6233333333333334,0.7961904761904762,0.2038095238095238,0.3766666666666667,0.07649113006975759,0.015774378243778434,0.038988049800046234,0.030565094367614575,0.05249922759514818,0.058309518948452994,0.03348943042384237,
SMOTETomek,Artificial neural network,0.40734435731225299,0.18629843403881333,0.7175396825396824,0.78511904761904772,0.3258961816051774,0.7055555555555556,0.7295238095238097,0.2704761904761905,0.2944444444444444,0.061989221442034816,0.015295616996764311,0.03341957852476588,0.0322951126462108,0.05848394382669212,0.05632796380282922,0.03040169466573784,
None,Bernoulli Naive Bayes,0.39451333399489263,0.20859061869262854,0.7122222222222222,0.77808730158730155,0.3078673082036064,0.7177777777777778,0.7066666666666667,0.2933333333333332,0.2822222222222222,0.06883618222303269,0.019518993252024733,0.03702225706607535,0.03298326572045729,0.05702979764425979,0.05820355934981688,0.03283297938273943,
ClusterCentroids,Bernoulli Naive Bayes,0.26100863701627625,0.32777158800770562,0.6334920634920634,0.73867460317460321,0.25416298902009016,0.8555555555555555,0.4114285714285714,0.5885714285714285,0.14444444444444443,0.054328607990552204,0.029785138240046277,0.030129058085069205,0.0316416498230945,0.05034431947764211,0.049690399499995305,0.06633249580710801,
EditedNearestNeighbours,Bernoulli Naive Bayes,0.39596275486664656,0.24088341204308172,0.7153174603174602,0.77591269841269839,0.3040150058918954,0.7777777777777778,0.6528571428571429,0.34714285714285714,0.22222222222222224,0.06792899764298216,0.024190598689306744,0.036818554372518984,0.03299962397764039,0.054998057524924746,0.053977590228849424,0.042362221650065174,
InstanceHardnessThreshold,Bernoulli Naive Bayes,0.3735345745535561,0.30222562634016514,0.7012698412698414,0.77430158730158716,0.30284542919519364,0.8544444444444443,0.548095238095238,0.451904761904762,0.14555555555555555,0.04548849259473014,0.029015184241478524,0.02562324664158564,0.029900024478999976,0.048290770407907156,0.0346766367429494,0.043210186083907295,
NearMiss,Bernoulli Naive Bayes,0.27426808801135383,0.29088054835675775,0.6494444444444445,0.70649206349206339,0.1983807645903867,0.7022222222222222,0.5966666666666668,0.4033333333333334,0.29777777777777775,0.06303919498827297,0.02836414913212774,0.0343079366548137,0.037173086667453274,0.04738054723437129,0.04863570806275398,0.033489430423842365,
NeighbourhoodCleaningRule,Bernoulli Naive Bayes,0.38937609856328365,0.23774717357222871,0.7117460317460316,0.77724603174603168,0.30533750476962646,0.7744444444444444,0.6490476190476191,0.35095238095238096,0.22555555555555556,0.06931018659149563,0.022862772847617556,0.03761821042535045,0.032983592277622036,0.05656978203294264,0.04976487928124155,0.0465742525193097,
OneSidedSelection,Bernoulli Naive Bayes,0.39450779584205897,0.21307667263516,0.712936507936508,0.77776190476190477,0.3070271415073005,0.7311111111111113,0.6947619047619047,0.30523809523809514,0.2688888888888889,0.0639201621840244,0.01963561206742125,0.03445358667350441,0.03391714371736021,0.05829914102272208,0.05472715713788779,0.03494083110065551,
RandomUnderSampler,Bernoulli Naive Bayes,0.37963306206095077,0.22062853563315449,0.7056349206349206,0.7704603174603174,0.2965234855565757,0.7355555555555555,0.6757142857142857,0.32428571428571423,0.2644444444444444,0.05787649841090643,0.016699066514313236,0.03104219772839089,0.027759490579049972,0.05567769320578224,0.045893058729029754,0.03526382586966403,
TomekLinks,Bernoulli Naive Bayes,0.39107567197663046,0.21325336828667615,0.7110317460317462,0.77809523809523806,0.30755289204460795,0.7277777777777777,0.6942857142857142,0.30571428571428566,0.27222222222222225,0.06258705733255902,0.019245184086706252,0.033832617494819514,0.033132786738625984,0.05705859937648604,0.05665577237325317,0.034325373887504944,
ADASYN,Bernoulli Naive Bayes,0.39944107113766419,0.21000342239426448,0.7159523809523809,0.77611904761904749,0.3110581384185464,0.74,0.6919047619047619,0.3080952380952381,0.26,0.07309172669966257,0.019501959776835717,0.03951424630909291,0.03342704514220149,0.057978005980975834,0.05987641593469992,0.03399346342395192,
RandomOverSampler,Bernoulli Naive Bayes,0.38433651969784349,0.2093703823074668,0.7069841269841269,0.77708730158730177,0.30595461102937843,0.7144444444444444,0.6995238095238094,0.3004761904761904,0.28555555555555556,0.06700457574046022,0.01925839435579284,0.03649637498091132,0.03382781940331463,0.06093565475776105,0.06436777047982328,0.032310848483214055,
SMOTE,Bernoulli Naive Bayes,0.39922114505205447,0.1950620999778076,0.7106349206349207,0.77676190476190488,0.31001844498869285,0.6688888888888889,0.7523809523809523,0.24761904761904763,0.33111111111111113,0.0637795228586594,0.016790185066962494,0.034520981456873136,0.030339232189133487,0.057116770636703375,0.06051221690751155,0.024971639242146466,
SMOTEENN,Bernoulli Naive Bayes,0.40574441834835551,0.19278614990348186,0.7100000000000001,0.77266666666666661,0.3058523585707456,0.6366666666666666,0.7833333333333333,0.21666666666666667,0.3633333333333333,0.0675901688710258,0.017115834799053684,0.036566033828294424,0.03129208579511632,0.05449657906500979,0.06531972647421806,0.025242587201330623,
SMOTETomek,Bernoulli Naive Bayes,0.40213882796657013,0.19500209882431765,0.7122222222222222,0.77653174603174613,0.30991662950050747,0.6711111111111111,0.7533333333333333,0.24666666666666667,0.3288888888888889,0.06383892444674101,0.0166850516712154,0.034785452631662266,0.03019950877179876,0.05552863491368524,0.061903947898596066,0.023015325663989665,
None,Decision Tree,0.22171616388559021,0.24300010499627989,0.6199999999999999,0.65877380952380959,0.1416677131610132,0.6400000000000001,0.6,0.4,0.36000000000000004,0.08178736030585808,0.01965652331414912,0.04466470364928676,0.04728251020171261,0.05799196809564515,0.09502436334766799,0.06335302236023843,
ClusterCentroids,Decision Tree,0.14589830333888912,0.2684735994866016,0.5765873015873015,0.60445238095238096,0.07372023153685794,0.6922222222222222,0.46095238095238084,0.539047619047619,0.3077777777777778,0.0971760585097768,0.025241228287087778,0.049876390416585425,0.05518204172234853,0.04714369597844382,0.14205719592326269,0.1701913022603663,
EditedNearestNeighbours,Decision Tree,0.26497872032561465,0.26074941257375239,0.642063492063492,0.68074999999999997,0.1648107675100752,0.6355555555555557,0.6485714285714287,0.35142857142857137,0.36444444444444446,0.089827204274755,0.02877433134025804,0.047673910194968326,0.06775437358454223,0.07709641875339446,0.08816370855501053,0.06721880203439194,
InstanceHardnessThreshold,Decision Tree,0.27095440418315314,0.28470270950278231,0.6459523809523808,0.67908730158730157,0.150621557845022,0.6900000000000001,0.601904761904762,0.39809523809523806,0.30999999999999994,0.07534260726933804,0.023215529271562087,0.04215877199271206,0.044727362699458144,0.0565424675607997,0.12964338551352092,0.08024056799920141,
NearMiss,Decision Tree,0.17565203476722871,0.25793801824019058,0.5931746031746031,0.60252777777777788,0.07274282231378668,0.6377777777777778,0.5485714285714285,0.45142857142857146,0.3622222222222222,0.0781135527277819,0.017307961365171938,0.04113714931992512,0.03809468542919214,0.04480453766932636,0.12930965800867694,0.10436722189846159,
NeighbourhoodCleaningRule,Decision Tree,0.23410259571688649,0.26802333707712112,0.6252380952380954,0.65557539682539678,0.14010656540843908,0.5933333333333334,0.657142857142857,0.3428571428571428,0.4066666666666666,0.10315937613481753,0.02688751648281309,0.055338920025050434,0.05520045099108839,0.07486068312615989,0.1155982826990218,0.0704697551759464,
OneSidedSelection,Decision Tree,0.27490636171442245,0.23871134410590025,0.6484126984126984,0.67165079365079383,0.15759963131851215,0.6911111111111111,0.6057142857142856,0.3942857142857143,0.3088888888888889,0.06074109507917301,0.018735917710559203,0.03364274387096789,0.04219442111933002,0.05726565269678127,0.08184598604756842,0.07764387566686394,
RandomUnderSampler,Decision Tree,0.25596730740253287,0.24192419406491192,0.6360317460317461,0.64102380952380955,0.11368089049138284,0.7177777777777777,0.5542857142857144,0.44571428571428573,0.28222222222222215,0.07854655042545054,0.013516108699735938,0.043778600772677784,0.045493967272607246,0.05332944047975693,0.14226561837928203,0.12146498053594967,
TomekLinks,Decision Tree,0.22292013866316579,0.23713792815098905,0.6190476190476191,0.64349603174603165,0.10681874414660139,0.6500000000000001,0.5880952380952381,0.411904761904762,0.35,0.05342154841652117,0.012737352404902534,0.02881509850301528,0.0413093206313714,0.04007833270001406,0.10255982897079402,0.10590287768107998,
ADASYN,Decision Tree,0.24974749155260723,0.20758944406993018,0.6289682539682538,0.63653968253968252,0.10266007427366271,0.6088888888888889,0.649047619047619,0.35095238095238096,0.3911111111111112,0.1000010657246831,0.010539027020209436,0.05724967969469238,0.06285765717482383,0.06102529513340498,0.2796073084051635,0.17846409472657507,
RandomOverSampler,Decision Tree,0.22367653199823623,0.23034824438298129,0.6184126984126986,0.64871428571428569,0.13202656790519526,0.6611111111111111,0.5757142857142857,0.42428571428571427,0.33888888888888896,0.13337209347176612,0.021836386077383866,0.0719292855618709,0.08535786455606881,0.10091219192988878,0.14702817400286683,0.14242315030042202,
SMOTE,Decision Tree,0.25171270886247715,0.2347861606328801,0.6336507936507937,0.66453174603174614,0.14814923517503906,0.5877777777777777,0.6795238095238095,0.32047619047619047,0.4122222222222222,0.09595660141004209,0.02168337911770396,0.052074258468668845,0.05528800882997117,0.06862562642265603,0.10443262344452604,0.07113590837486691,
