Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
InstanceHardnessThreshold,Gaussian Naive Bayes,0.69627755636309951,0.15880426065076614,0.8486311778436524,0.87695333834803335,0.5908700249226239,0.9261413714084258,0.7711209842788791,0.228879015721121,0.07385862859157412,0.038179538107414125,0.02027416190725805,0.019563947671783353,0.030121238800718785,0.06663430083046157,0.028448501939070756,0.03915143168684843,
NearMiss,Gaussian Naive Bayes,0.40954953035779307,0.29558593844285835,0.6692124312270991,0.85436934965171207,0.4957312164811946,0.4010928961748633,0.9373319662793347,0.0626680337206653,0.5989071038251367,0.09645139115019424,0.042839635646114795,0.04590811551858059,0.03148694879244357,0.06663661135957942,0.09093371742959779,0.031227751334182346,
NeighbourhoodCleaningRule,Gaussian Naive Bayes,0.49469260791915226,0.25276040380094539,0.7170333922156961,0.86440301513362283,0.5277242590310754,0.4984664198836594,0.935600364547733,0.06439963545226703,0.5015335801163405,0.07510310694245154,0.0397491959071784,0.044675542521062345,0.029174203157674144,0.06406990376235104,0.10111047743586536,0.027111552702718603,
OneSidedSelection,Gaussian Naive Bayes,0.47173802601011011,0.26542613452845726,0.7024954338155373,0.85364014574680047,0.5085451619319198,0.4650273224043716,0.9399635452267032,0.060036454773296874,0.5349726775956284,0.10675663950497427,0.057226942417709814,0.06203007420332702,0.03124564576250452,0.06550776458232699,0.13815123060306297,0.031114725783669927,
RandomUnderSampler,Gaussian Naive Bayes,0.40166144520257174,0.30138065547202192,0.6607543087322651,0.84568023708133366,0.4919152658766921,0.3737528644456197,0.9477557530189108,0.05224424698108909,0.6262471355543805,0.07791186447815311,0.03724943574046331,0.04110882071308826,0.03755555461657863,0.08041646083802965,0.08554187444760214,0.020225592271338202,
TomekLinks,Gaussian Naive Bayes,0.49310867134670866,0.25587596839839372,0.7145930062404219,0.85381007263121989,0.5092190314501157,0.49011105235325225,0.9390749601275917,0.0609250398724083,0.5098889476467477,0.08926161313780313,0.047879553126980015,0.05347675518218688,0.031289849660022295,0.06486206934283033,0.12119446676459006,0.029638460729683177,
ADASYN,Gaussian Naive Bayes,0.45333619795864871,0.27086654822084205,0.6958459288213805,0.84588056904917941,0.4780161130468229,0.4639520535871673,0.9277398040555934,0.07226019594440647,0.5360479464128326,0.07570792605377728,0.038742449765794905,0.04315540349250072,0.025235685612167234,0.06000702119246552,0.10131744554519577,0.034661394361455676,
RandomOverSampler,Gaussian Naive Bayes,0.48212825919008578,0.2566545730709639,0.7096553128651154,0.85390969792636962,0.5097182284217232,0.4845760620482989,0.9347345636819321,0.0652654363180679,0.5154239379517012,0.07674136672579365,0.042251887051982503,0.045629484285670804,0.03260862939706276,0.06810127090193248,0.10800480692505063,0.031917092181941574,
SMOTE,Gaussian Naive Bayes,0.49692905627013412,0.25008788862994841,0.7168187191935417,0.85204896344992087,0.5128041823797571,0.49541688700863745,0.9382205513784461,0.06177944862155389,0.5045831129913626,0.07163013905468762,0.04263028641899619,0.044173762050208315,0.03463053162852998,0.07019833222289468,0.10729930577397012,0.03132064778961428,
SMOTEENN,Gaussian Naive Bayes,0.5991034261309548,0.19055768528887732,0.7807626398576607,0.88079310819715506,0.6162808056557256,0.6406663141195136,0.9208589655958076,0.0791410344041923,0.3593336858804866,0.07677573479933997,0.0354210979066599,0.04871211557259635,0.033758029169932875,0.06854804960385401,0.12457344824729906,0.04016275499061686,
