C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovo,0.947894737,rbf,SMOTETomek,0.58941204,0.953703704,0.225120377,0.774879623,0.046296296,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,SMOTETomek,0.580847194,0.965873016,0.195821372,0.804178628,0.034126984,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,ClusterCentroids,0.516118031,0.085097002,0.94713906,0.05286094,0.914902998,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,ClusterCentroids,0.508760031,0.065608466,0.951911597,0.048088403,0.934391534,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,ClusterCentroids,0.502633562,0.05335097,0.951916154,0.048083846,0.94664903,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,ClusterCentroids,0.501399754,0.050881834,0.951917673,0.048082327,0.949118166,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,InstanceHardnessThreshold,0.521250011,0.990299824,0.052200197,0.947799803,0.009700176,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,InstanceHardnessThreshold,0.519179683,0.990299824,0.048059543,0.951940457,0.009700176,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,NearMiss,0.519419002,1,0.038838004,0.961161996,0,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,NearMiss,0.519419002,1,0.038838004,0.961161996,0,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,InstanceHardnessThreshold,0.518701214,0.990299824,0.047102605,0.952897395,0.009700176,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,InstanceHardnessThreshold,0.519018675,0.990299824,0.047737526,0.952262474,0.009700176,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,NearMiss,0.519419002,1,0.038838004,0.961161996,0,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,NearMiss,0.518942052,1,0.037884104,0.962115896,0,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,RandomUnderSampler,0.563250424,0.980687831,0.145813017,0.854186983,0.019312169,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,RandomUnderSampler,0.560663317,0.983156966,0.138169667,0.861830333,0.016843034,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,RandomUnderSampler,0.559389678,0.983156966,0.135622389,0.864377611,0.016843034,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,RandomUnderSampler,0.557636051,0.983156966,0.132115136,0.867884864,0.016843034,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,ADASYN,0.503730159,0.730952381,0.276507937,0.723492063,0.269047619,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,ADASYN,0.503730159,0.730952381,0.276507937,0.723492063,0.269047619,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,RandomOverSampler,0.57135735,0.978130511,0.164584188,0.835415812,0.021869489,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,RandomOverSampler,0.569444233,0.978130511,0.160757955,0.839242045,0.021869489,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,ADASYN,0.503730159,0.730952381,0.276507937,0.723492063,0.269047619,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,ADASYN,0.503730159,0.730952381,0.276507937,0.723492063,0.269047619,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,RandomOverSampler,0.568723872,0.980511464,0.15693628,0.84306372,0.019488536,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,SMOTE,0.581082251,0.958730159,0.203434343,0.796565657,0.041269841,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,RandomOverSampler,0.568094268,0.980511464,0.155677071,0.844322929,0.019488536,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,SMOTE,0.577139102,0.963580247,0.190697957,0.809302043,0.036419753,0,0,0,0,0
0.01,2048,,ovo,1.368736842,rbf,SMOTE,0.57283516,0.968342152,0.177328169,0.822671831,0.031657848,0,0,0,0,0
0.01,2048,,ovo,1.473947368,rbf,SMOTE,0.57068821,0.973280423,0.168095998,0.831904002,0.026719577,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
